,ID,ind_ppp_UNadj,aged,young,sexratio,percaay,deprived,nophone,noSanitation,nodrinkingWater,totLivestock,x,y,yr
1,1,7,0,1,937,NA,1,2,3,3,5,92.46683532,24.70935092,2022
2,2,6,0,1,937,NA,1,2,2,2,4,92.4947978,24.64950891,2022
3,3,4,0,1,913,NA,1,2,1,0,4,91.01453434,26.43625434,2022
4,4,13,1,2,937,NA,2,3,5,5,9,92.49294617,24.6496123,2022
5,5,8,0,1,937,NA,1,2,3,3,5,92.46473415,24.7120852,2022
6,6,6,0,1,937,NA,1,2,2,2,4,92.4818524,24.62446071,2022
7,7,14,1,2,937,1,1,2,5,5,9,92.33845125,24.67991905,2022
8,8,7,0,1,937,NA,1,1,3,3,5,92.28824805,24.61441715,2022
9,9,5,0,1,937,NA,1,1,2,2,3,92.36524642,24.63555071,2022
10,10,4,0,0,937,NA,0,0,1,1,2,92.27754892,24.68765741,2022
11,11,6,0,1,937,NA,1,1,2,2,4,92.28551371,24.64363433,2022
12,12,4,0,1,937,NA,1,1,2,2,3,92.2855473,24.63547112,2022
13,13,8,0,1,937,NA,1,2,3,3,6,92.37173122,24.61837113,2022
14,14,5,0,1,937,NA,1,1,2,2,3,92.32162397,24.53873516,2022
15,15,3,0,0,937,NA,0,1,1,1,2,92.27821253,24.60073104,2022
16,16,5,0,1,937,NA,0,1,2,2,3,92.36997216,24.64529569,2022
17,17,10,1,1,937,1,1,1,4,4,7,92.36211061,24.66723251,2022
18,18,12,1,2,937,1,1,1,4,4,8,92.34795877,24.65697802,2022
19,19,11,1,1,937,1,1,1,4,4,8,92.35663919,24.66350244,2022
20,20,7,0,1,937,NA,1,1,3,3,5,92.35920659,24.61885648,2022
21,21,12,1,1,937,1,1,1,4,4,8,92.3712414,24.66615385,2022
22,22,7,0,1,937,NA,1,1,3,3,5,92.35646712,24.62633436,2022
23,23,6,0,1,937,NA,1,1,2,2,4,92.29231675,24.62736077,2022
24,24,12,1,2,937,1,1,2,5,5,8,92.36453876,24.67507471,2022
25,25,11,1,1,937,NA,2,2,4,4,7,92.33969869,24.63957145,2022
26,26,6,0,1,937,NA,1,1,2,2,4,92.32109566,24.58020641,2022
27,27,5,0,1,937,NA,1,1,2,2,3,92.29237312,24.58307907,2022
28,28,4,0,0,920,NA,1,1,1,1,6,92.44019214,26.73738769,2022
29,29,1,0,0,917,NA,0,0,0,0,2,95.76743496,27.9620298,2022
30,30,2,0,0,917,NA,0,1,1,0,3,95.65555892,27.86276764,2022
31,31,1,0,0,917,NA,0,0,0,0,2,95.67988179,27.85010231,2022
32,32,6,0,1,937,NA,0,1,2,2,4,92.38726966,24.65155886,2022
33,33,1,0,0,917,NA,0,0,0,0,1,95.6811793,27.86265436,2022
34,34,1,0,0,917,NA,0,0,0,0,1,95.9181602,27.91797496,2022
35,35,1,0,0,917,NA,0,0,0,0,1,95.81384882,27.85432816,2022
36,36,11,1,1,937,1,1,1,4,4,8,92.3711987,24.67772735,2022
37,37,8,0,1,937,NA,1,2,3,3,5,92.35353149,24.65059995,2022
38,38,9,1,1,937,NA,1,2,3,3,6,92.33133136,24.62068597,2022
39,39,9,1,1,937,NA,1,1,3,3,6,92.31640479,24.66383633,2022
40,40,9,1,1,937,1,1,1,3,3,6,92.31156857,24.69191293,2022
41,41,8,0,1,937,1,1,2,3,3,6,92.33226765,24.65706162,2022
42,42,8,0,1,937,1,1,2,3,3,6,92.33084669,24.64923576,2022
43,43,6,0,1,937,NA,1,1,2,2,4,92.29434029,24.59236894,2022
44,44,4,0,1,937,NA,1,1,1,1,3,92.27971502,24.63458469,2022
45,45,7,0,1,937,NA,1,1,3,3,5,92.31251658,24.62295199,2022
46,46,1,0,0,917,NA,0,0,0,0,1,95.7434424,27.76929878,2022
47,47,2,0,0,917,NA,0,0,1,0,2,95.74739294,27.8755533,2022
48,48,5,0,1,937,NA,1,1,2,2,3,92.26679623,24.55963191,2022
49,49,5,0,1,937,NA,1,1,2,2,3,92.33246813,24.55559302,2022
50,50,5,0,1,937,NA,1,1,2,2,4,92.36356319,24.58393753,2022
51,51,4,0,0,920,NA,1,2,1,1,7,92.41112614,26.78742504,2022
52,52,4,0,0,920,NA,1,1,1,1,3,93.42730858,26.86535362,2022
53,53,4,0,0,920,NA,0,2,1,1,3,93.14603866,26.67254464,2022
54,54,7,0,1,937,NA,1,1,3,3,5,92.31904353,24.66857773,2022
55,55,2,0,0,920,NA,0,1,1,1,2,93.12389295,26.72105901,2022
56,56,4,0,0,920,NA,0,1,1,1,3,93.1300771,26.69313296,2022
57,57,2,0,0,920,NA,0,1,1,1,2,93.15854897,26.72084272,2022
58,58,3,0,0,920,NA,1,1,1,1,3,93.43294102,26.85171357,2022
59,59,4,0,0,920,NA,0,1,1,1,3,93.17712889,26.71651548,2022
60,60,4,0,0,920,NA,0,2,1,1,3,93.13106188,26.68656639,2022
61,61,1,0,0,917,NA,0,0,0,0,1,95.68488944,27.8745338,2022
62,62,1,0,0,917,NA,0,0,0,0,1,95.74056181,27.95754691,2022
63,63,5,0,1,937,NA,1,1,2,2,3,92.26153555,24.56172823,2022
64,64,7,0,1,937,1,1,1,3,3,5,92.32555824,24.60299806,2022
