,relief distributed,District,Rice (in Q),Dal (in Q),Salt (in Q),M. Oil (in L),Cattle Feed - Green Fooder (in Q),Cattle Feed - Wheat Bran (in Q),Cattle Feed - Rice Bran (in Q),,,Date
0,,Bajali,33.28,5.78,131.95,102.03,0.00,100.00,0.00,,,17-06-2022
1,,Baksa,88.75,610.37,4.90,490.44,0.00,30.69,0.00,,,17-06-2022
2,,Barpeta,6.84,1.23,0.37,0.00,0.00,0.00,0.00,,,17-06-2022
3,,Biswanath,11.22,2.27,0.00,0.00,0.00,0.00,0.00,,,17-06-2022
4,,Bongaigaon,1303.43,236.70,71.16,373.14,0.00,4437.28,0.00,,,17-06-2022
5,,Chirang,142.59,27.67,8.12,811.06,0.00,0.00,0.00,,,17-06-2022
6,,Dhemaji,39.16,7.24,2.16,143.91,0.00,0.00,0.00,,,17-06-2022
7,,Dhubri,11.17,2.07,0.62,62.43,0.00,0.00,0.00,,,17-06-2022
8,,Goalpara,49.54,9.12,2.74,273.60,0.00,0.00,0.00,,,17-06-2022
9,,Hojai,0.00,11.40,4.75,228.00,0.00,0.00,0.00,,,17-06-2022
10,,Kamrup,317.57,59.11,18.79,1879.09,0.00,939.00,0.00,,,17-06-2022
11,,Kamrup (M),64.32,10.60,3.18,319.00,0.00,0.00,0.00,,,17-06-2022
12,,Karbi Anglong West,110.33,20.58,6.17,617.49,0.00,0.00,0.00,,,17-06-2022
13,,Kokrajhar,613.11,113.95,33.75,3375.63,0.00,0.00,0.00,,,17-06-2022
14,,Lakhimpur,56.30,10.93,3.28,242.99,0.00,0.00,0.00,,,17-06-2022
15,,Nalbari,895.61,182.69,48.23,4824.00,0.00,3850.00,0.00,,,17-06-2022
16,,Sonitpur,60.62,11.54,3.46,0.00,0.00,0.00,0.00,,,17-06-2022
17,,Tamulpur,504.19,83.80,31.65,1535.66,0.00,611.94,0.00,,,17-06-2022
18,,Tinsukia,77.49,11.40,4.25,188.19,0.00,0.00,0.00,,,17-06-2022
19,,Udalguri,190.56,34.30,10.31,123.00,0.00,0.00,0.00,,,17-06-2022
20,,Total,4576.08,1452.75,389.84,15589.66,0.00,9968.91,0.00,,,17-06-2022
