,relief distributed others,District,Baby Food Liquid,,Baby Food Solid,,Others,,,,,Date
0,,Biswanath,0.00-Q,,"0.00-Q, 4.00-Kg",,Onion-0.93-Q; Potato-1.42-Q; Egg-480.00-Pieces,,,,,29-06-2022
1,,Cachar,0.00-Q,,53450.00-Pkt,,Fruit Juice-250.00-Pkt; Dry Fruite-4.00-Kg; Amul Taza-2000.00-Pkt; Biscuit-25000.00-Pkt; Water Bottole-30122.00-L; Sanytary Pad-4000.00-Pkt; Candle-700.00-Pkt; Dry Kits-1500.00-Pkt,,,,,29-06-2022
2,,Chirang,0.00-Q,,218.00-Pkt,,Tarpaulin-34.00-Pieces; Sanitary Napkin-342.00-Pkt; Candle-376.00-Pkt; M. Coil-342.00-Pkt; Horlicks-1.00-Pkt; Mosquito Net-34.00-Pieces; Potato-255.00-Kg; Onion-85.00-Kg; Soyabean-43.00-Kg; Chilli-22.00-Kg,,,,,29-06-2022
3,,Darrang,0.00-Q,,0.00-Q,,0-0.00-Q; TARPAULIN-800.00-Pieces; Tarpaulin-7690.00-Pieces,,,,,29-06-2022
4,,Dhemaji,0.00-Q,,0.00-Q,,Tarpaulin-104.00-Pieces,,,,,29-06-2022
5,,Dhubri,"0.00-Q, 0.00-Pkt",,"0.00-Q, 0.00-Pkt",,Tarpaulin-2189.00-Pieces; Chira-1259.00-Kg; Gur-426.40-Kg; HTW-110.00-Pieces; Tarpoline -1000.00-Pieces; M-Coil-100.00-Pkt; Candle-100.00-Pkt; M-Box-100.00-Pieces; Chira-1.50-Q; Gur-0.45-Q; Bleaching powder-25.00-Kg; Water Pouch(250 ml)-16300.00-Pkt,,,,,29-06-2022
6,,Dibrugarh,0.00-Q,,0.00-Q,,0-0.00-Q; Tarpaulin sheets-21.00-Q,,,,,29-06-2022
7,,Dima-Hasao,0.00-Q,,0.00-Q,,HALDI-94.00-Pkt; Onion-209.00-Kg; Biscuit-484.00-Pkt; Milk-65.00-L; napkin-36.00-Pkt; Candel-224.00-Pkt; Match box-94.00-Pkt; M.repellent-94.00-Pkt; M.net-36.00-Pieces; Bathing soap-58.00-Pkt,,,,,29-06-2022
8,,Hailakandi,"0.00-Q, 75.00-Pkt",,0.00-Q,,Water purification tablets-2000.00-Pieces; Candle-20.00-Pkt; Match box-5.00-Pkt; Water Packets-2500.00-Pkt; Water Purification Tablets-23500.00-Pieces,,,,,29-06-2022
9,,Hojai,0.00-Q,,0.00-Q,,Candel-3.00-Pkt; Sanitary Pad-5.00-Pkt; Bleaching powder-6.00-Pkt; phenyle-6.00-Pieces; Tarpaulin-50.00-Pieces; water bottle -160.00-L; Phenyl-6.00-Pkt; bleaching powder-6.00-Pkt,,,,,29-06-2022
10,,Kamrup,"0.00-Q, 0.00-Pkt",,150.00-Pkt,,Sanitary Napkin-600.00-Pkt; Mosquito Repelent-35.00-Pkt; Phenyl-50.00-Pkt; Milk-12.00-Pkt; Candle-120.00-Pkt; Candel-400.00-Pkt; Tarpulin-750.00-Pieces,,,,,29-06-2022
11,,Karimganj,"0.00-Q, 230.00-Pkt",,0.00-Q,,0-0.00-Q; Mosquito Coil-21.00-Pkt; Candle-35.00-Pkt; Water Purification Tablet-4650.00-Pkt; Chemical Packets-5780.00-Pkt; Water Pouch-3500.00-Pkt; Lime & Alum Pouch-1450.00-Pkt; Hydrochloride Solution-80.00-L,,,,,29-06-2022
12,,Lakhimpur,0.00-Q,,"208.40-Kg, 0.00-Q",,tarpaulin-121.00-Pieces; Tarupalin-800.00-Pieces,,,,,29-06-2022
13,,Majuli,0.00-Q,,0.00-Q,,Chemical Packets-100.00-Pkt; Halogen Tab-1800.00-Pieces; Chemical Peckets-150.00-Pkt,,,,,29-06-2022
14,,Morigaon,"1039.00-Pkt, 0.00-Q",,"1039.00-Pkt, 0.00-Q",,Tarpoulin-163.00-Pieces; Rechargeable light-120.00-Pieces; Hand Tube well-21.00-Pieces; CHEMICAL PACKETS -250.00-Q; HALOGEN -2000.00-Q; HTW -5.00-Q,,,,,29-06-2022
15,,Nagaon,"0.00-Q, 2631.00-Pkt",,0.00-Q,,HTW-6.00-Pieces; Phenyl-4984.00-Q; Sanitary Napkin -1500.00-Pieces,,,,,29-06-2022
16,,Tinsukia,0.00-Q,,0.00-Q,,0-0.00-Q,,,,,29-06-2022
17,,Udalguri,0.00-Q,,20.00-Pkt,,Sanitary Pad-67.00-Pkt; Candle and Matchsticks-40.00-Pkt; Mosquito Coil-40.00-Pkt; Disposal Plates-90.00-Pkt; Disposal Glass-18.00-Pkt; Soap-134.00-Pkt; Water Jar (20Ltrs)-25.00-Pieces; Phenyl-10.00-Pieces; Tarpaulin-67.00-Pieces; Mosquito Net-67.00-Pieces,,,,,29-06-2022
