municipal_loss_id,disaster_id,department_id,district_id,status,entry_by,entry_date,ip_addr,RecordStatus,Roadlength,detailsremovalofdebris,Electricpoles,electricwires,internalwatersupply,streetlights,nameofbuilding,municipalname,ULB,type,updated_by,incidentdate,district_name,ulb_id,ulb_name,ulb_name_original,district_best,district_alternative,subdistrict_best,subdistrict_alternative,tehsil_best,tehsil_best_object_id,tehsil_alt,tehsil_alt_object_id
10,4645,1,25,Active,2173,2020-08-22 11:56:31.000,117.247.236.153,1,0.015,0,0,0,0.0,0,0,1,14,1,4018.0,21-08-2020,SOLAN ,14.0,Arki,Nagar Panchayat Arki  ,solan,,Arki,,ARKI,02-031-00057,,
11,4648,35,23,Active,1008,2020-08-22 12:17:47.570,164.100.138.237,1,0.404,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,1,1,1,,20-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
12,4701,1041,23,Active,1008,2020-08-22 16:02:40.863,117.247.236.153,1,0.139,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,1,1,1,7388.0,21-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
13,4840,35,23,Active,1008,2020-08-27 12:17:39.810,164.100.138.237,1,0.297,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,1,1,1,,22-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
18,5408,35,23,Active,1008,2020-09-21 17:16:46.840,164.100.138.237,1,0.279,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,24-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
19,5409,35,23,Active,1008,2020-09-21 17:18:57.220,164.100.138.237,1,0.018,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,25-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
20,5410,35,23,Active,1008,2020-09-21 17:20:23.440,164.100.138.237,1,0.081,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,26-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
21,5411,35,23,Active,1008,2020-09-21 17:21:48.460,164.100.138.237,1,0.076,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,27-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
22,5412,35,23,Active,1008,2020-09-21 17:23:09.650,164.100.138.237,1,0.043,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,28-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
23,5413,35,23,Active,1008,2020-09-21 17:24:26.727,164.100.138.237,1,0.037,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,29-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
24,5414,35,23,Active,1008,2020-09-21 17:25:46.750,164.100.138.237,1,0.037,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,31-08-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
30,2759,1,23,Active,1008,2020-09-26 16:12:26.850,117.247.236.153,1,0.98,0,0,0,0.0,0,0,2,1,2,4018.0,16-07-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
31,5727,35,23,Active,1008,2020-10-01 13:28:27.810,117.212.103.97,1,0.4,200 qm,0,5,0.0,20,2 shop and 2 toilet set,2,3,2,,10-09-2020,SHIMLA ,3.0,Theog,"Municipal Council,Theog  ",shimla,,Theog,,THEOG,02-033-00047,,
32,4173,35,23,Active,1008,2020-10-01 13:39:18.630,117.212.103.97,1,0.5,300 qm,0,3,0.0,15,0,2,3,2,,03-08-2020,SHIMLA ,3.0,Theog,"Municipal Council,Theog  ",shimla,,Theog,,THEOG,02-033-00047,,
33,5720,35,23,Active,1008,2020-10-03 14:49:12.330,164.100.138.237,1,0.164,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,02-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
34,5721,35,23,Active,1008,2020-10-03 14:50:57.547,164.100.138.237,1,0.074,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,03-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
35,5722,35,23,Active,1008,2020-10-03 14:52:56.997,164.100.138.237,1,0.052,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,04-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
36,5723,35,23,Active,1008,2020-10-03 14:54:44.280,164.100.138.237,1,0.061,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,05-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
37,5724,35,23,Active,1008,2020-10-03 14:56:37.523,164.100.138.237,1,0.048,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,07-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
38,5725,35,23,Active,1008,2020-10-03 14:58:32.210,164.100.138.237,1,0.067,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,08-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
39,5726,35,23,Active,1008,2020-10-03 15:01:10.600,164.100.138.237,1,0.067,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,09-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
40,5727,35,23,Active,1008,2020-10-03 15:02:42.090,164.100.138.237,1,0.049,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,10-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
41,5719,35,23,Active,1008,2020-10-03 15:04:48.093,164.100.138.237,1,0.037,Removal of Debris/ Slips 30%of Grand TOTAL,0,0,0.0,0,0,2,1,2,,01-09-2020,SHIMLA ,1.0,Shimla,"Municipal Corp., Shimla ",shimla,,Shimla (urban),,SHIMLA,02-033-00045,,
42,5762,1,23,Active,1008,2020-10-03 15:26:54.777,117.247.236.153,1,1.0,0,0,0,0.0,0,0,1,7,1,4018.0,15-06-2020,SHIMLA ,7.0,Kotkhai,Nagar Panchayat Kotkhai  ,shimla,,Kotkhai,,KOTKHAI,02-033-00038,,
43,5763,1,23,Active,1008,2020-10-03 15:30:07.843,117.247.236.153,1,0.15,0,0,0,0.0,0,0,1,7,1,4018.0,07-08-2020,SHIMLA ,7.0,Kotkhai,Nagar Panchayat Kotkhai  ,shimla,,Kotkhai,,KOTKHAI,02-033-00038,,
44,5764,1,23,Active,1008,2020-10-03 15:31:46.030,117.247.236.153,1,0.0,removal of debris from drains as well as road side whic has flow due to heavy rain ,0,0,0.0,0,0,1,7,1,4018.0,09-08-2020,SHIMLA ,7.0,Kotkhai,Nagar Panchayat Kotkhai  ,shimla,,Kotkhai,,KOTKHAI,02-033-00038,,
45,5783,35,23,Active,1008,2020-10-05 12:17:29.113,117.247.213.101,1,1.0,restoration of work in ward no. 3,0,0,0.0,0,0,2,2,2,,04-06-2020,SHIMLA ,2.0,Rampur,"Municipal Council, Rampur  ",shimla,,Rampur,,RAMPUR,02-033-00043,,
46,5784,35,23,Active,1008,2020-10-05 12:20:32.120,117.247.213.101,1,0.5,removal of debris from drains as well as road side whic has flow due to heavy rain,0,0,0.0,0,0,2,2,2,,09-06-2020,SHIMLA ,2.0,Rampur,"Municipal Council, Rampur  ",shimla,,Rampur,,RAMPUR,02-033-00043,,
47,5785,35,23,Active,1008,2020-10-05 12:22:35.670,117.247.213.101,1,0.0,"sewerage line damage in ward no. 3,4,5,6",0,0,0.0,0,0,2,2,2,,17-06-2020,SHIMLA ,2.0,Rampur,"Municipal Council, Rampur  ",shimla,,Rampur,,RAMPUR,02-033-00043,,
48,5780,35,23,Active,1008,2020-10-05 12:23:58.867,117.247.213.101,1,0.0,removal of debris from drains as well as road side whic has flow due to heavy rain,0,0,0.0,0,0,2,2,2,,25-06-2020,SHIMLA ,2.0,Rampur,"Municipal Council, Rampur  ",shimla,,Rampur,,RAMPUR,02-033-00043,,
49,5782,35,23,Active,1008,2020-10-05 12:25:30.700,117.247.213.101,1,1.0,0,0,0,0.0,0,0,2,2,2,,02-07-2020,SHIMLA ,2.0,Rampur,"Municipal Council, Rampur  ",shimla,,Rampur,,RAMPUR,02-033-00043,,
50,5781,35,23,Active,1008,2020-10-05 12:27:10.433,117.247.213.101,1,1.0,restoration of damage path in ward no. 8 and 9,0,0,0.0,0,0,2,2,2,,30-06-2020,SHIMLA ,2.0,Rampur,"Municipal Council, Rampur  ",shimla,,Rampur,,RAMPUR,02-033-00043,,
51,4733,35,23,Active,1008,2020-10-05 15:02:34.713,59.89.11.233,1,0.019,0,5,30,0.0,5,0,1,6,1,,22-08-2020,SHIMLA ,6.0,Jubbal,Nagar Panchayat Jubbal  ,shimla,,Jubbal,,JUBBAL,02-033-00037,,
52,2835,35,23,Active,1008,2020-10-13 16:16:44.160,117.212.96.79,1,1.0,Removal of debris from road/drainage 72 cum,0,0,0.0,0,0,1,8,1,,22-07-2020,SHIMLA ,8.0,Sunni,Nagar Panchayat Sunni  ,shimla,,Jubbal,Rohru,JUBBAL,02-033-00037,,
53,3031,35,23,Active,1008,2020-10-13 16:39:54.760,59.89.13.172,1,0.4,Behind PhC ,4,2,0.0,5,1,1,9,1,,03-08-2020,SHIMLA ,9.0,Narkanda,Nagar Panchayat Narkanda  ,shimla,,Kumarsain,,KUMHARSAIN,02-033-00039,,
54,4733,35,23,Active,1008,2020-10-13 16:42:39.887,59.89.13.172,1,0.2,behind green berry hotel,2,0,0.0,5,1,1,9,1,,22-08-2020,SHIMLA ,9.0,Narkanda,Nagar Panchayat Narkanda  ,shimla,,Kumarsain,,KUMHARSAIN,02-033-00039,,
55,5856,35,25,Active,2173,2020-10-14 12:57:11.580,117.247.236.153,1,0.0,Debris,0,0,0.0,0,0,2,12,2,,24-06-2020,SOLAN ,12.0,Nalagarh,"Municipal Council,Nalagarh  ",solan,,Nalagarh,,NALAGARH,02-031-00062,,
56,5856,35,25,Active,2173,2020-10-14 13:00:46.120,117.247.236.153,1,1500.0,Removal of slips in different ward of MC solan,0,0,500.0,0,0,2,10,2,,24-06-2020,SOLAN ,10.0,Solan,"Municipal Council,Solan  ",solan,,Solan,,SOLAN,02-031-00064,,
57,2917,1,25,Active,2173,2020-10-14 13:22:29.910,117.247.236.153,1,0.375,675 mtr and 125 mtrs  with on septic tank renovation works,0,0,0.0,0,0,2,11,2,4018.0,28-07-2020,SOLAN ,11.0,Parwanoo,"Municipal Council,Parwanoo  ",solan,,Kasauli,,KASAULI,02-031-00060,,
58,5499,1,18,Active,2077,2020-10-14 14:59:09.840,117.247.236.153,1,1.44,Renovation of road side drains,0,0,0.0,309,Community hall,2,36,2,4018.0,30-07-2020,KANGRA ,36.0,Nagrota,Municipal Council Nagrota  ,kangra,,Nurpur,,NURPUR,02-024-02127,,
59,5499,35,18,Active,2077,2020-10-14 15:11:21.193,117.247.236.153,1,1.5,Renovation of  road side drain,0,0,1100.0,110,Buildings,2,34,2,,30-07-2020,KANGRA ,34.0,Palampur,"Municipal Council,Palampur  ",kangra,,Palampur,,PALAMPUR,02-024-02128,,
60,5857,35,18,Active,2077,2020-10-14 15:17:18.707,103.210.32.152,1,0.4,damage of path toward Naddi village w.no. 1,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
61,5857,35,18,Active,2077,2020-10-14 15:29:12.710,103.210.32.152,1,0.14,damage of path near house of Pritam chand w.no. 2,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
62,5857,35,18,Active,2077,2020-10-14 15:31:46.530,103.210.32.152,1,0.15,damage of path from sati mata to jamna house w.no. 2,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
63,5857,35,18,Active,2077,2020-10-14 15:32:49.890,103.210.32.152,1,0.125,damage of path near nand chand house w.no. 2,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
64,5857,35,18,Active,2077,2020-10-14 15:34:16.610,103.210.32.152,1,0.2,damage of road at rakkar dhupnala w.no. 2,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
65,5857,35,18,Active,2077,2020-10-14 15:36:55.573,103.210.32.152,1,0.2,DAMAGE OF ROAD DUSALAN AND HEERU W.NO.2,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
66,5857,35,18,Active,2077,2020-10-14 15:40:37.580,103.210.32.152,1,0.06,DAMAGE OF DRAIN NEAR HOUSE OF NISHO DEVI NEAR HOSPITAL WN 3,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
67,5857,35,18,Active,2077,2020-10-14 15:51:20.800,103.210.32.152,1,0.06,DAMAGE OF nALHA NEAR HOUSE OF MADHU RANA W.NO 3,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
68,5857,35,18,Active,2077,2020-10-14 15:54:53.617,103.210.32.152,1,0.0,0,0,0,0.0,0,DAMAGE OF TOILET NEAR KULDEEP SINGH HOUSE AT HARIJAN BASTI W.NO -8,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
69,5857,35,18,Active,2077,2020-10-14 15:59:46.693,103.210.32.152,1,0.025,DAMAGE OF FOOTPATH NEAR SEWERAGE TREATMENT PLANT WNO -8,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
70,5857,35,18,Active,2077,2020-10-14 16:00:58.177,103.210.32.152,1,0.04,DAMAGE OF NALLAH NEAR SHAMSHER CHAND KATOCH NEAR GULARIAN MOHALA W.NO-8,0,0,0.0,0,00,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
71,5857,35,18,Active,2077,2020-10-14 16:02:32.087,103.210.32.152,1,0.15,DAMAGE OG KUHAL PINGAL NALLAH W.NO -8,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
72,5857,35,18,Active,2077,2020-10-14 16:05:37.910,103.210.32.152,1,0.25,DAMAGE OF PATH AT ROHRIKUT GADIYARI W NO -8,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
73,5857,35,18,Active,2077,2020-10-14 16:08:28.457,103.210.32.152,1,0.2,DAMAGE OF CHANIYA ROAD PATH W.NO-9,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
74,5857,35,18,Active,2077,2020-10-14 16:10:15.807,103.210.32.152,1,0.35,DAMAGE OF PATH NEAR SOHAN LAL HOUSE  W.NO.9,0,0,0.0,0,0,2,33,2,,20-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
75,5858,35,18,Active,2077,2020-10-14 16:11:26.443,103.210.32.152,1,0.06,DAMAGE OF PATH R/WALL NEAR USHA HOUSE W.NO.9,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
76,5858,35,18,Active,2077,2020-10-14 16:12:59.687,103.210.32.152,1,0.01,"DAMAGE OF R/WALL DRAIN ,PATH NEAR SHARMA HOUSE W.NO-11",0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
77,5859,35,18,Active,2077,2020-10-14 16:14:02.817,103.210.32.152,1,0.1,DAMAGE OF NALLAH NEAR DEVILAL HOUSE AND PRADEP HOUSE W.NO. 12,0,0,0.0,0,0,2,33,2,,31-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
78,5858,35,18,Active,2077,2020-10-14 16:16:29.523,103.210.32.152,1,0.1,DAMAGE OF NALLAH NEAR BUDDHI SINGH AND NISHA HOUSE AT DARNU W.NO.12,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
79,5859,35,18,Active,2077,2020-10-14 16:17:16.043,103.210.32.152,1,0.15,DAMAGE OF NALAH AT DARNU W.NO -12,0,0,0.0,0,0,2,33,2,,31-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
80,5858,35,18,Active,2077,2020-10-14 16:18:53.607,103.210.32.152,1,0.08,DAMAGE OF KUHAL AND R/WALL FROM MAIN ROAD TO PYARE LAL HOUSE W.NO.13,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
81,5858,35,18,Active,2077,2020-10-14 16:19:42.970,103.210.32.152,1,0.1,DAMAGE OF NALLAH NEAR AMRIT LAL HOUSE WN 4 OLD CMO ROAD,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
82,5859,35,18,Active,2077,2020-10-14 16:21:20.447,103.210.32.152,1,0.05,DAMAGE OF KUHAL FROM PARVEN THAPA TO VIJAY CHAKI HOUSE W.NO.13,0,0,0.0,0,0,2,33,2,,31-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
83,5858,35,18,Active,2077,2020-10-14 16:23:09.790,103.210.32.152,1,0.1,DAMAGE OF KUHL NEAR ROSHAN LAL HOUSE W.N. 5,0,0,0.0,0,0,2,33,2,,28-07-2020,KANGRA ,33.0,Corp.Dharamsala,Municipal Corp.Dharamsala  ,kangra,,Shahpur,Dharmsala,SHAHPUR,02-024-02130,,
