,District,STATE,TEHSIL,Shape_Leng,Shape_Area,max,mean,count,sum
0,BILASPUR,HIMACHAL PRADESH,BHARARI,50253.2287631,90003059.4992,0.29597096037864684,0.1857515825877029,89,16.531890850305558
1,BILASPUR,HIMACHAL PRADESH,BILASPUR,93446.6858184,170352534.169,0.17634261131286622,0.15245370427752988,165,25.15486120579243
2,BILASPUR,HIMACHAL PRADESH,GHURMWIN,105834.665205,190654237.996,0.29597096037864684,0.18075924894731119,182,32.89818330841064
3,BILASPUR,HIMACHAL PRADESH,JHANDUTA,112831.475031,320537617.031,0.29597096037864684,0.21336974654090018,310,66.14462142767906
4,BILASPUR,HIMACHAL PRADESH,NAMHOL,61752.6169941,103497870.22,0.1582027935743332,0.14567499899274053,101,14.713174898266793
5,BILASPUR,HIMACHAL PRADESH,SHRI NAINA DEVI JI,148639.558438,264795831.173,0.29597096037864684,0.22465430716646126,261,58.63477417044639
6,CHAMBA,HIMACHAL PRADESH,BHATTIYAT,85144.2123522,257999513.743,0.24205416140556335,0.24037664227485653,246,59.1326539996147
7,CHAMBA,HIMACHAL PRADESH,BRAHMAUR,209367.738985,1627176726.52,0.5291289626121521,0.2328457382259237,1587,369.5261865645409
8,CHAMBA,HIMACHAL PRADESH,CHAMBA,162862.220151,991617744.872,0.5291289626121521,0.18574268652384376,967,179.61317786855693
9,CHAMBA,HIMACHAL PRADESH,CHAURAH,186807.573257,1146328795.67,0.458803026676178,0.27438182381084986,1120,307.30764266815186
10,CHAMBA,HIMACHAL PRADESH,DALHOUSIE,71519.7966795,159436528.297,0.33254387879371644,0.2530051463124099,157,39.72180797104836
11,CHAMBA,HIMACHAL PRADESH,PANGI,188893.088214,1490172013.4,0.458803026676178,0.3831443256909122,1454,557.0918495545864
12,CHAMBA,HIMACHAL PRADESH,SALUNI,135853.869052,494126681.774,0.2715089776992798,0.24535598450041304,485,118.99765248270033
13,CHAMBA,HIMACHAL PRADESH,SIHUNTA,96037.9245929,244516703.247,0.5291289626121521,0.33957987189791244,244,82.85748874309064
14,HAMIRPUR,HIMACHAL PRADESH,BAMSAN,77616.3671139,106557212.95,0.28363522787094114,0.25242081201848526,105,26.504185261940954
15,HAMIRPUR,HIMACHAL PRADESH,BARSAR,108778.999684,154266333.331,0.29597096037864684,0.295652618894577,155,45.82615592865944
16,HAMIRPUR,HIMACHAL PRADESH,BHORANJ,68927.611411,129046845.173,0.29597096037864684,0.1998151692178726,125,24.976896152234076
17,HAMIRPUR,HIMACHAL PRADESH,DHATWAL,70189.1721546,122072796.613,0.29597096037864684,0.29597096037864684,114,33.74068948316574
18,HAMIRPUR,HIMACHAL PRADESH,GALORE,53842.0643581,68232575.6151,0.29597096037864684,0.2891586901878243,67,19.37363224258423
19,HAMIRPUR,HIMACHAL PRADESH,HAMIRPUR,105975.502316,156364783.551,0.29597096037864684,0.28517719443440437,152,43.34693355402946
20,HAMIRPUR,HIMACHAL PRADESH,NADAUN,87300.5665976,187884569.905,0.28363522787094114,0.2828489786943678,181,51.19566514368057
21,HAMIRPUR,HIMACHAL PRADESH,TIRA SUJANPUR,86185.023756,168030440.563,0.2980620506167412,0.28253548343494167,164,46.33581928333044
