object_id,total_tender_awarded_value
02-023-00003,82807093.0
02-023-00008,20923640.0
02-024-02110,8325172.0
02-024-02116,1611840.0
02-024-02118,2340369.0
02-024-02119,4031612.0
02-024-02122,13729231.0
02-024-02123,57832297.0
02-024-02130,1860827.0
02-026-00014,2479328.0
02-027-00026,5782744.0
02-028-02854,1269199.0
02-028-02855,1451057.0
02-028-02857,11644413.0
02-028-02858,1886273.0
02-029-00065,7870381.0
02-029-00066,35400000.0
02-029-00068,8384626.0
02-029-00069,100887173.0
02-031-00058,8273456.0
02-031-00061,879101.0
02-031-00062,3537873.98
02-031-00064,3504064.5
02-032-00048,1807691.0
02-032-01637,10053457.0
02-033-00035,2307078.0
02-033-00043,1195920.0
02-033-00047,3441928.0
02-034-01706,13658568.0
