Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Er. Rajeev Sharma,Internal,AE Joginder Nagar Supdt. HDM,Bhag Mal Thakur,17-Apr-2019 01:12 PM,finsummary_28709.pdf (330.01 KB),17-Apr-2019,"INR 746,163",90.0,Bhag Mal Thakur,17-Apr-2019 04:13 PM,AOC270.pdf (419.00 KB),AOC,PWD,2018_PWD_20270_1,VR-46 Km.1 to 2,Periodical Maintenance of Pipli to Salera road (VR-0046) (Other than PMGSY) under Annual Maintenance Plan for the year 2018-19,Er Rajeev Sharma,Internal,Superintendent Head Draughtsman Senior Divisional Accounts Office Assistant Engineer,Rajeev Sharma,10-Apr-2018 02:25 PM,10-Apr-2018 03:00 PM,techsummary_28709.pdf (293.45 KB),Technical,BId opening summary,Rajeev Sharma,04-Apr-2018 03:50 PM,technical_28709.pdf,1.0,80727.0,G.P.ACHARYA,31-Mar-2018 12:16 PM,Rejected-Finance,L-3,17-Apr-2019 01:12 PM,Finance,Financial bid opening summary,Balbir Singh Thakur,23-Apr-2018 05:05 PM,finance_28709.pdf,BOQ Comparative Chart,1.0,80685.0,Sanjeev Bhandari,INR,"746,163",AOC,350.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,Periodical Maintenance of Pipli to Salera road (VR-0046) (Other than PMGSY) under Annual Maintenance Plan for the year 2018-19,"Providing and laying built up spray grout, 25mm thick bituminous concrete in Km.1 to 2",Please refer Tender documents. ,NA ,"6,38,467",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,1.0,DD - Demand Draft,19-Mar-2018 06:00 PM,02-Apr-2018 11:00 AM,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,NA ,NA ,19-Mar-2018 06:00 PM,31-Mar-2018 05:00 PM,10-Apr-2018 03:00 PM,"12,800",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,PWD,VR-46 Km.1 to 2,2018_PWD_20270_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (indicated in schedule F),Executive Engineer,B and R Division HPPWD Joginder Nagar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,80776.0,P. L. SHARMA,31-Mar-2018 12:16 AM,Rejected-Finance,L-2,17-Apr-2019 01:12 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (indicated in schedule F),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,80685.0,Sanjeev Bhandari,29-Mar-2018 08:15 PM,Accepted-AOC,AOC,17-Apr-2019 04:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (general Rule No 23),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax Registration (General rule No 21),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate minimum amount of work done as per Schedule F,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machinery Tool Pants (Indicated in Schedule F),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7 and 8 duly signed on judiciary paper,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Both gazetted and non gazetted officer HPPWD employees related to him (general rule No 16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent account Number (PAN),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,AOC
