Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,"Construction of Add, Accmo. R.H. Towan Bharari",2018_PWD_25010_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Construction of Additional Accommodation in HPPWD Rest House at Town Bharari Tehsil Bhoranj,"C/O 1st. floor and Ground floor Porch and Stair case ,hall i/c W.S and S.I",Please refer Tender documents. ,NA ,"20,28,230",Civil Works - Buildings,NA ,Tender,120.0,180.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,Executive Engineer,Executive Engineer HPPWD Division Barsar,500.0,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,01-Dec-2018 10:30 AM,13-Dec-2018 10:30 AM,01-Dec-2018 10:30 AM,12-Dec-2018 10:30 AM,NA ,NA ,01-Dec-2018 10:30 AM,12-Dec-2018 10:30 AM,18-Dec-2018 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"41,000",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,AOC,1.0,103188.0,V.V. CONSTRUCTION CO.,INR,"2,398,732",Finance,fin bid,Anil Kumar Sharma,18-Dec-2018 01:07 PM,finance_34999.pdf,BOQ Comparative Chart,1.0,103172.0,devender rana,11-Dec-2018 07:45 PM,Rejected-Finance,L 2,18-Dec-2018 01:21 PM,Technical,tech,Pramod Kashyap,13-Dec-2018 05:02 PM,technical_34999.pdf,PWD,2018_PWD_25010_1,"Construction of Add, Accmo. R.H. Towan Bharari",Construction of Additional Accommodation in HPPWD Rest House at Town Bharari Tehsil Bhoranj,Executive Engineer,Internal,Supdt HDM DAO AE,Anil Kumar Sharma,17-Dec-2018 11:17 AM,18-Dec-2018 11:30 AM,techsummary_34999.pdf (465.31 KB),EE,Internal,Supdt HDM DAO AE,Anil Kumar Sharma,18-Dec-2018 01:21 PM,finsummary_34999.pdf (140.35 KB),10-Apr-2019,"INR 2,028,230",180.0,Pramod Kashyap,10-Apr-2019 02:50 PM,VV.pdf (525.00 KB),"Construction of Add, Accmo. R.H. Towan Bharari",AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,AOC,,,,,,,,,,,,2.0,103038.0,SURESH KUMAR GOVT CONT,10-Dec-2018 04:25 PM,Rejected-Technical,Non Responsive,17-Dec-2018 11:17 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor Registration,,,,,,,AOC,,,,,,,,,,,,3.0,103188.0,V.V. CONSTRUCTION CO.,12-Dec-2018 12:27 AM,Accepted-AOC,L 1,10-Apr-2019 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate ( Only Completed work ),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST , EPF No. and Labour Licence, Pan Card",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with ownership documents / Affidavit(Plant and paver must be requir,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. That information submitted by the bidder is true and correctattested by Executive Magistrate/N,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate duly C/S by the Executing Authority,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. bidder should not have more then 2 contracts at a time each of Rs.100.00lacs or more in circle,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
