Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
17-Apr-2019,"INR 961,618",60.0,Prem Pal Sharma,17-Apr-2019 04:28 PM,crash.pdf (782.00 KB),awarded,Er Rakesh Thakur,Internal,hdm dao supdt,Prem Pal Sharma,17-Apr-2019 03:48 PM,finsummary_35990.pdf (436.91 KB),Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,23-Jan-2019 12:03 PM,23-Jan-2019 12:05 PM,techsummary_35990.pdf (344.49 KB),PWD,2019_PWD_25690_3,PW-JD/E-Tender/2018-19 -10177 -79 DT.15.12.2018,Improvement of Black spot on Dhalli Dakhal Valley Road Km 0/0 to 2/500,Finance,Bid Opening Summary,Manoj Bhardwaj,01-Feb-2019 12:57 PM,finance_35990.pdf,BOQ Comparative Chart,1.0,107734.0,rajender singh,INR,"961,618",Technical,Bid Opening Summary,Manoj Bhardwaj,23-Jan-2019 11:44 AM,technical_35990.pdf,1.0,107745.0,jawahar singh govt contractor,15-Jan-2019 04:59 PM,Rejected-AOC,2nd,17-Apr-2019 04:28 PM,AOC,Executive Engineer Jubbal,HPPWD JUBBAL,1.0,DD - Demand Draft,350.0,EE Jubbal,Jubbal,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),"14,650",No,fixed,,EE Jubbal,Jubbal,02-Jan-2019 11:00 AM,16-Jan-2019 11:00 AM,02-Jan-2019 11:30 AM,15-Jan-2019 06:00 PM,NA ,NA ,02-Jan-2019 11:30 AM,15-Jan-2019 06:00 PM,23-Jan-2019 12:05 PM,PWD,PW-JD/E-Tender/2018-19 -10177 -79 DT.15.12.2018,2019_PWD_25690_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Improvement of Black spot on Dhalli Dakhal Valley Road Km 0/0 to 2/500,SH Providing and fixing Crash Barrier Railing between RD 0/0 to 0/250,Please refer Tender documents. ,NA ,"7,31,875",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107734.0,rajender singh,15-Jan-2019 04:44 PM,Accepted-AOC,awarded,17-Apr-2019 04:28 PM,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,107759.0,rakesh,15-Jan-2019 05:59 PM,Rejected-Technical,Non-Responsive,23-Jan-2019 12:03 PM,AOC,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
