Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,fbosummary,Bhag Mal Thakur,23-Feb-2019 11:57 AM,finance_37838.pdf,BOQ Comparative Chart,1.0,113176.0,ANURAG SHARMA,INR,"1,949,001",Technical,summary,Bhag Mal Thakur,20-Feb-2019 02:49 PM,technical_37838.pdf,1.0,113176.0,ANURAG SHARMA,16-Feb-2019 03:32 PM,Accepted-AOC,AOC,12-Apr-2019 04:26 PM,12-Apr-2019,"INR 1,949,001",90.0,Bhag Mal Thakur,12-Apr-2019 04:26 PM,AOC637.pdf (410.00 KB),AOC,Er. B.M.Thakur,Internal,AE Joginder Nagar Supdt. HDM,Bhag Mal Thakur,11-Apr-2019 02:44 PM,finsummary_37838.pdf (349.93 KB),Er. B.M.Thakur,Internal,AE Joginder Nagar Sr.DAO Supdt. HDM,Bhag Mal Thakur,21-Feb-2019 04:40 PM,23-Feb-2019 11:00 AM,techsummary_37838.pdf (339.79 KB),PWD,2019_PWD_26637_1,PW-JND-B and R-EA-I-NIT- 24221-24320 dt.15.01.2019,Periodical maintenance of Joginder Nagar Sarkaghat Ghumarwin road (MDR79) under Annual Maintenance Plan 2019-20.,AOC,PWD,PW-JND-B and R-EA-I-NIT- 24221-24320 dt.15.01.2019,2019_PWD_26637_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),"33,900",No,fixed,,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,Periodical maintenance of Joginder Nagar Sarkaghat Ghumarwin road (MDR79) under Annual Maintenance Plan 2019-20.,"Providing and laying built-up spray grout, 30mm thick bituminous concrete in Km. 20/0 to 21/0",As per SBD documents ,NA ,"17,62,758",Civil Works - Roads,NA ,Tender,120.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,500.0,"EE B and R Divn. HPPWD, Joginder Nagar",Joginder Nagar,No,Executive Engineer,"Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,DD - Demand Draft,04-Feb-2019 10:00 AM,18-Feb-2019 11:30 AM,04-Feb-2019 10:00 AM,16-Feb-2019 05:00 PM,NA ,NA ,04-Feb-2019 10:00 AM,16-Feb-2019 05:00 PM,23-Feb-2019 11:00 AM,AOC
,,,,,,,,,,,,,,,,2.0,113042.0,G.P.ACHARYA,16-Feb-2019 02:32 PM,Rejected-Finance,L-3,11-Apr-2019 02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,113055.0,P. L. SHARMA,16-Feb-2019 02:48 PM,Rejected-Finance,L-2,11-Apr-2019 02:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,113083.0,Sanjeev Bhandari,15-Feb-2019 07:12 PM,Rejected-Technical,Non-Responsive,21-Feb-2019 04:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
