Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
17-Jan-2018 06:00 PM,06-Feb-2018 11:30 AM,17-Jan-2018 06:00 PM,05-Feb-2018 05:30 PM,NA ,NA ,17-Jan-2018 06:00 PM,05-Feb-2018 05:30 PM,21-Mar-2018 04:00 PM,Executive Engineer,National Highway Division HPPWD Joginder Nagar,"34,800",Yes,fixed,,EE National Higway,National Highway Division HPPWD Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form (indicated in schedule F),500.0,EE National Higway,National Highway Division HPPWD Joginder Nagar,Yes,1.0,DD - Demand Draft,PWD,Kandwal,2018_PWD_19213_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Widening of road for prividing additional road width for HP entry tax barrier at Kandwal km. 11/1015 to 12/100 on NH-154 in the state of Himachal Pradesh,Widening of road for prividing additional road width for HP entry tax barrier at Kandwal km. 11/1015 to 12/100 on NH-154 in the state of Himachal Pradesh,Please refer Tender documents. ,NA ,"17,39,071",Civil Works - Roads,NA ,Tender,120.0,30.0,Kandwal barrier,176201.0,NA ,NA ,NA ,Joginder Nagar,No ,No,AOC,Er BM Thakur,Internal,Superintendent Senior Divisional Accounts Officer Assistant Engineer Head Draughtsman,Balbir Singh Thakur,20-Mar-2018 01:15 PM,21-Mar-2018 04:00 PM,techsummary_26597.pdf (233.17 KB),PWD,2018_PWD_19213_1,Kandwal,Widening of road for prividing additional road width for HP entry tax barrier at Kandwal km. 11/1015 to 12/100 on NH-154 in the state of Himachal Pradesh,06-Jul-2019,"INR 1,373,124",30.0,Bhag Mal Thakur,06-Jul-2019 12:07 PM,AOC19213.pdf (279.00 KB),AOC,Er. Vijay Chaudhary,Internal,AE Gumma Sr.DAO Supdt Estt. HDM,Bhag Mal Thakur,06-Jul-2019 12:06 PM,finsummary_26597.pdf (246.48 KB),1.0,75811.0,TARUN KUMAR,INR,"1,373,124",Finance,Bid Opening summary,Balbir Singh Thakur,22-Mar-2018 04:01 PM,finance_26597.pdf,BOQ Comparative Chart,1.0,75811.0,TARUN KUMAR,05-Feb-2018 01:20 PM,Accepted-AOC,AOC,06-Jul-2019 12:07 PM,Technical,bid opening summary,Balbir Singh Thakur,06-Feb-2018 03:01 PM,technical_26597.pdf,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (indicated in schedule F),,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,75808.0,VIVEK MAHAJAN,05-Feb-2018 01:31 PM,Rejected-Finance,Being L-2,06-Jul-2019 12:06 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (general Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,75794.0,V S SAINI,04-Feb-2018 10:18 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Feb-2018 03:01 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Sale Tax Registration (General rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate minimum amount of work done as per Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machinery Tool Pants (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Form No 7 and 8 duly signed on judiciary paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Both gazetted and non gazetted officer HPPWD employees related to him (general rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Permanent account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
