Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
350.0,EE Theog,HP PWD Theog,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),C.o Bhagar to Kauper road km 0.0 to 1.800 SH Cutting in earth work at RD 1.405 to 1.570,C.o Bhagar to Kauper road km 0.0 to 1.800 SH Cutting in earth work at RD 1.405 to 1.570,Please refer Tender documents. ,NA ,"8,58,519",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,Executive Engineer,HP PWD Division Theog,"18,200",No,fixed,,EE Theog,HP PWD Theog,27-Jun-2019 02:00 PM,15-Jul-2019 11:00 AM,27-Jun-2019 02:00 PM,12-Jul-2019 06:00 PM,NA ,NA ,27-Jun-2019 02:00 PM,12-Jul-2019 06:00 PM,19-Jul-2019 03:35 PM,1.0,DD - Demand Draft,PWD,PW.THD.CB.Tender.2019- 2769-80 dt.22.6.2019,2019_PWD_29685_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,124303.0,Sandeep Chauhan,INR,"969,340",Finance,Fiancial,Mahesh Kanwar,19-Jul-2019 04:35 PM,finance_42931.pdf,BOQ Comparative Chart,1.0,124286.0,Mohar Singh Verma,12-Jul-2019 05:16 PM,Rejected-Finance,Non Responsive,24-Oct-2019 03:05 PM,Technical,summary,Mahesh Kanwar,15-Jul-2019 02:39 PM,technical_42931.pdf,Er Mahesh Kanwar,Internal,Satya Pal Sharma Supdt Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,19-Jul-2019 03:32 PM,19-Jul-2019 03:35 PM,techsummary_42931.pdf (478.32 KB),PWD,2019_PWD_29685_4,PW.THD.CB.Tender.2019- 2769-80 dt.22.6.2019,C.o Bhagar to Kauper road km 0.0 to 1.800 SH Cutting in earth work at RD 1.405 to 1.570,24-Oct-2019,"INR 858,519",60.0,Mahesh Kanwar,24-Oct-2019 03:14 PM,5.pdf (539.00 KB),AOC,Er Mahesh Kanwar,Internal,Lekh Ram Shandil HDM Satya Pal Sharma Supdt GrII Leela Verma Sr Asstt,Mahesh Kanwar,24-Oct-2019 03:05 PM,finsummary_42931.pdf (336.16 KB),AOC
,,,,,,.pdf,Earnest Money deposit (as Schedule-F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,124303.0,Sandeep Chauhan,12-Jul-2019 05:22 PM,Accepted-AOC,Responsive,24-Oct-2019 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,124298.0,Suresh Chand Suman,12-Jul-2019 04:46 PM,Rejected-Finance,Non Responsive,24-Oct-2019 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,124304.0,Suresh Sharma,12-Jul-2019 05:16 PM,Rejected-Technical,Non Responsive,19-Jul-2019 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
