EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"35,000",No,fixed,,EE Sundernagar,Sundernagar,Construction of road from Jarol to Chahari via Kamshera Km 0/0 to 2/0 in Tehsil Sundernagar,SH Construction of 10 mtr span RCC slab culvert at RD 0/075 with both side wing walls.,As per tender documents ,NA ,"18,02,200",Civil Works,NA ,Tender,120.0,180.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,Executive Engineer,"Sunder Nagar Division HPPWD Sundernagar, Distt. Mandi (HP)",1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,PWD,PW-SNR-E-Tender/19-9992-10004 dt 28.8.19,2019_PWD_31341_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,06-Sep-2019 05:30 PM,18-Sep-2019 11:00 AM,06-Sep-2019 05:30 PM,17-Sep-2019 06:00 PM,NA ,NA ,06-Sep-2019 06:00 PM,17-Sep-2019 06:00 PM,21-Sep-2019 11:00 AM,500.0,EE Sundernagar,Sundernagar,No,1.0,DD - Demand Draft,AOC,1.0,131146.0,Tek Chand,INR,"2,108,020",Finance,FBOS,Naresh Raj Chandel,23-Sep-2019 10:42 AM,finance_45140.pdf,BOQ Comparative Chart,1.0,130825.0,Narender Kumar,12-Sep-2019 08:29 PM,Rejected-AOC,Not found lowest,04-Dec-2019 04:58 PM,Technical,BOS,Naresh Raj Chandel,18-Sep-2019 06:26 PM,technical_45140.pdf,PWD,2019_PWD_31341_1,PW-SNR-E-Tender/19-9992-10004 dt 28.8.19,Construction of road from Jarol to Chahari via Kamshera Km 0/0 to 2/0 in Tehsil Sundernagar,EE Sundernagar,Internal,AE Suket Sr. DAO HDM Superintendent (PMGSY),Naresh Raj Chandel,19-Sep-2019 03:21 PM,21-Sep-2019 11:00 AM,techsummary_45140.pdf (212.67 KB),Superintendidng Engineer 1sr Circle Mandi,Internal,Executive Engineer (D) Mandi Circle Executive Engineer Sundernagar Division CHD Supdt Works,Naresh Raj Chandel,04-Dec-2019 04:54 PM,finsummary_45140.pdf (3193.75 KB),04-Dec-2019,"INR 2,108,020",180.0,Naresh Raj Chandel,04-Dec-2019 04:58 PM,AOCKamshera.pdf (3194.00 KB),AOC issued,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,2.0,131165.0,RAJ KUMAR,17-Sep-2019 12:45 PM,Rejected-AOC,Not found lowest,04-Dec-2019 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,131146.0,Tek Chand,17-Sep-2019 09:36 AM,Accepted-AOC,Found lowest,04-Dec-2019 04:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,131181.0,Vijay Kumar Verma,17-Sep-2019 01:10 PM,Rejected-Technical,Being non responsive,19-Sep-2019 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,130935.0,VIRENDER KUMAR,14-Sep-2019 10:50 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Sep-2019 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
