Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"5,000","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),20-Nov-2019 05:00 PM,09-Dec-2019 11:30 AM,20-Nov-2019 05:00 PM,07-Dec-2019 05:00 PM,NA ,NA ,20-Nov-2019 05:00 PM,07-Dec-2019 05:00 PM,28-Dec-2019 11:00 AM,Metalling and tarring on Neol Budha Bingal Sadhala Taryambli road Km 0/0 to 8/300 in Distt. Mandi (H.P.) Under NABARD RIDF-XXV,"ROFD, construction of retaining wall and breast wall, cross drainage works, sub-base course grade-I, WBM Base course G-II, G-III, premix carpet with seal coat, c/o of road side drain, parapets and W-Metal Beam crash Barrier system in Km 0/0 to 8/300",As per bid documents ,NA ,"3,85,98,231",Civil Works - Roads,NA ,Tender,120.0,548.0,Mandi,175001.0,NA ,NA ,NA ,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",No ,No,PWD,PW-MDI-Tender-NIT- 15834-63 dated 13.11.2019,2019_PWD_32772_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi","4,18,500",No,fixed,,"Executive Engineer, Mandi Divn.No.I, HPPWD, Mandi",Mandi,AOC,Er. J.K. Gupta,Internal,Sr.DAO Supdt. HDM,Jitender Kumar,26-Dec-2019 03:43 PM,28-Dec-2019 11:00 AM,techsummary_47238.pdf (691.60 KB),PWD,2019_PWD_32772_1,PW-MDI-Tender-NIT- 15834-63 dated 13.11.2019,Metalling and tarring on Neol Budha Bingal Sadhala Taryambli road Km 0/0 to 8/300 in Distt. Mandi (H.P.) Under NABARD RIDF-XXV,04-Mar-2020,"INR 32,094,063",548.0,Jitender Kumar,06-Mar-2020 04:39 PM,AOCneol.PDF (574.00 KB),AOC,Er. J.K. Gupta,Internal,AE Kamand Supdt. HDM,Jitender Kumar,31-Dec-2019 12:44 PM,finsummary_47238.pdf (443.60 KB),Finance,fbosummary,Jitender Kumar,31-Dec-2019 10:50 AM,finance_47238.pdf,BOQ Comparative Chart,1.0,139113.0,CHAMAN LAL,INR,"32,094,063",1.0,139268.0,Ashadeep Construction Pvt Ltd,07-Dec-2019 04:58 PM,Rejected-Finance,L-2,31-Dec-2019 12:44 PM,Technical,summary,Jitender Kumar,11-Dec-2019 02:25 PM,technical_47238.pdf,AOC
,,,,2.0,FDR - Fixed Deposit,,,.pdf,Earnest money (Indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,139113.0,CHAMAN LAL,07-Dec-2019 02:32 PM,Accepted-AOC,AOC,06-Mar-2020 04:39 PM,,,,,,AOC
,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,138716.0,Dinesh Kumar Sharma Const. (P) Ltd,07-Dec-2019 03:00 PM,Rejected-Finance,L-4,31-Dec-2019 12:44 PM,,,,,,AOC
,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,139023.0,M/S NAWAL KISHORE AND SONS,06-Dec-2019 10:06 AM,Rejected-Finance,L-3,31-Dec-2019 12:44 PM,,,,,,AOC
,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"Proof of registration under Employee Provident Funds and Miscellaneous provision Act, 1952",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Form No.7 and 8 duly signed (General Rule No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
