Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
PWD,No/PW/Ksli/NIT/19-20-3533-42 dt 2.07.2019,2019_PWD_30048_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,EE Kasauli,Kasauli,No,"34,000",No,fixed,,EE Kasauli,Kasauli,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),Restoration of rain damges on SAKB road in km 50/0 to 70/0 (SH C/O 6.00 meter span slab culvert at Rd 58/600,Restoration of rain damages on SAKB road in km 50/0 to 70/0 (SH C/O 6.00 meter span slab culvert at Rd 58/600,Please refer Tender documents. ,NA ,"17,65,655",Civil Works,NA ,Tender,90.0,180.0,Kasauli,173204.0,NA ,NA ,NA ,Kasauli,No ,No,1.0,DD - Demand Draft,EE HPPWD kasauli,EE HPPWD Kasauli,11-Jul-2019 10:00 AM,25-Jul-2019 11:00 AM,11-Jul-2019 11:00 AM,24-Jul-2019 04:00 PM,NA ,NA ,11-Jul-2019 11:00 AM,24-Jul-2019 04:00 PM,30-Jul-2019 03:00 PM,AOC,PWD,2019_PWD_30048_1,No/PW/Ksli/NIT/19-20-3533-42 dt 2.07.2019,Restoration of rain damges on SAKB road in km 50/0 to 70/0 (SH C/O 6.00 meter span slab culvert at Rd 58/600,Er Rajesh Kumar,Internal,Er Satish Kumar AE subathu Sh Paramjit Singh Grover DAO Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt GrII,Satish Kumar,30-Jul-2019 02:56 PM,30-Jul-2019 03:00 PM,techsummary_43369.pdf (65.89 KB),Er Rajesh kumar,Internal,Er Satish kumar AE Subathu Sh P S Grover DAO Sh A N Arora HDM Sh V P Sharma Supdt Gr II,Satish Kumar,31-Jul-2019 11:14 AM,finsummary_43369.pdf (60.46 KB),14-Apr-2020,"INR 1,765,655",180.0,Satish Kumar,14-Apr-2020 01:16 PM,208.pdf (208.00 KB),AOC,1.0,125111.0,CHANDER MANI,18-Jul-2019 05:13 PM,Accepted-AOC,Lowest tender,14-Apr-2020 01:16 PM,Technical,Bid Opening Summary,Satish Kumar,30-Jul-2019 02:34 PM,technical_43369.pdf,1.0,125111.0,CHANDER MANI,INR,"2,038,643",Finance,Financial Summary,Satish Kumar,31-Jul-2019 11:09 AM,finance_43369.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,125644.0,Gopal Thakur,24-Jul-2019 10:45 AM,Rejected-AOC,Not Lowest,14-Apr-2020 01:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,125880.0,Jai Gopal,24-Jul-2019 03:20 PM,Rejected-AOC,Not Lowest,14-Apr-2020 01:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Sales tax registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,125133.0,kamal kishore mehta,23-Jul-2019 11:33 PM,Rejected-AOC,Not Lowest,14-Apr-2020 01:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,125691.0,YashPal,23-Jul-2019 01:56 PM,Rejected-AOC,Not Lowest,14-Apr-2020 01:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
