Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
500.0,EE Kasauli,Kasauli,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (as per Schedule F 6.3),Improvement of road under Head NCAP with multiple tine to Clear air in 102 cities on Old NH,Improvement of road under Head NCAP with multiple tine to Clear air in 102 cities on Old NH-22 SH P/L interlocking tile pavement in berms and repair of side drain from at Rd 62/200 to 62/775,Please refer Tender documents. ,NA ,"10,12,819",Civil Works,NA ,Tender,90.0,90.0,Kasauli,173204.0,NA ,NA ,NA ,EE Office Kasauli,No ,No,17-Sep-2019 12:00 PM,01-Oct-2019 11:00 AM,17-Sep-2019 12:30 PM,30-Sep-2019 06:00 PM,NA ,NA ,17-Sep-2019 12:30 PM,30-Sep-2019 06:00 PM,01-Oct-2019 02:25 PM,"20,300",No,fixed,,EE Kasauli,Kasauli,1.0,DD - Demand Draft,EE HPPWD Kasauli,EE Kasauli HPPWD,PWD,No/PW/ksli/NIT/19-20-8999-9009 dt 6/9/19,2019_PWD_31544_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,PWD,2019_PWD_31544_1,No/PW/ksli/NIT/19-20-8999-9009 dt 6/9/19,Improvement of road under Head NCAP with multiple tine to Clear air in 102 cities on Old NH,Er Rajesh Kumar,Internal,Er Satish kumar Sharma AE Suabthu Sh Amar Nath Arora HDM Sh Ved Prakash Sharma Supdt Gr-II,Satish Kumar,01-Oct-2019 02:19 PM,01-Oct-2019 02:25 PM,techsummary_45415.pdf (58.06 KB),Er Rajesh Kumar,Internal,Er Satish Kumar AE Subathu Sh Amar nath Arora HDM Sh Ved Prakash Sharma Supdt Gr-II,Satish Kumar,01-Oct-2019 03:38 PM,finsummary_45415.pdf (52.64 KB),14-Apr-2020,"INR 1,012,819",90.0,Satish Kumar,14-Apr-2020 02:05 PM,333.pdf (221.00 KB),AOC,1.0,132794.0,CHINT RAM SHARMA,30-Sep-2019 01:17 PM,Accepted-AOC,Lowest Tender,14-Apr-2020 02:05 PM,Technical,Bid opening Summary,Satish Kumar,01-Oct-2019 02:10 PM,technical_45415.pdf,1.0,132794.0,CHINT RAM SHARMA,INR,"1,147,802",Finance,Financial bid Opening Summary,Satish Kumar,01-Oct-2019 03:34 PM,finance_45415.pdf,BOQ Comparative Chart,AOC
,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,132458.0,VIPIN KUMAR GUPTA,30-Sep-2019 02:02 PM,Rejected-AOC,Not Lowest,14-Apr-2020 02:05 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,copy of GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
