Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Vijay Kumar Chauhan,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil Leela Verma Sr Asst.,Vijay Kumar Chauhan,02-Jun-2020 04:14 PM,finsummary_51498.pdf (355.32 KB),02-Jun-2020,"INR 3,793,525",60.0,Vijay Kumar Chauhan,02-Jun-2020 04:18 PM,AOCSainjyaswantnagar.pdf (1343.00 KB),AOC,PWD,2020_PWD_35112_5,pw.THD/CB/-tender2020-13977-86 Dt.29.1.2020,Annual maintenance of Chhailla Sainj Neripul Yashwant Nagar Solan road km. 0.0 to 18.435 SH Providing and laying bituminous concrete 30 mm thick i.c pot holes in km 6.0 to 10.0 under AMP2020.21,Er Vijay Kumar Chauhan,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Vijay Kumar Chauhan,02-Mar-2020 05:27 PM,03-Mar-2020 11:00 AM,techsummary_51498.pdf (403.11 KB),1.0,151494.0,Bharat Bhushan Verma,INR,"4,798,052",Finance,summary,Vijay Kumar Chauhan,03-Mar-2020 03:58 PM,finance_51498.pdf,BOQ Comparative Chart,Technical,summary,Vijay Kumar Chauhan,02-Mar-2020 03:08 PM,technical_51498.pdf,1.0,151494.0,Bharat Bhushan Verma,28-Feb-2020 05:26 PM,Accepted-AOC,Responsive,02-Jun-2020 04:18 PM,AOC,PWD,pw.THD/CB/-tender2020-13977-86 Dt.29.1.2020,2020_PWD_35112_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),Annual maintenance of Chhailla Sainj Neripul Yashwant Nagar Solan road km. 0.0 to 18.435 SH Providing and laying bituminous concrete 30 mm thick i.c pot holes in km 6.0 to 10.0 under AMP2020.21,Annual maintenance of Chhailla Sainj Neripul Yashwant Nagar Solan road km. 0.0 to 18.435 SH Providing and laying bituminous concrete 30 mm thick i.c pot holes in km 6.0 to 10.0 under AMP2020.21,Please refer Tender documents. ,NA ,"37,93,525",Civil Works - Roads,NA ,Tender,90.0,60.0,Theog,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,Executive Engineer,HP PWD Theog Division,17-Feb-2020 11:00 AM,29-Feb-2020 11:00 AM,17-Feb-2020 11:00 AM,28-Feb-2020 06:00 PM,NA ,NA ,17-Feb-2020 11:00 AM,28-Feb-2020 06:00 PM,03-Mar-2020 11:00 AM,"64,500",No,fixed,,EE Theog,HP PWD Theog,"1,500",EE Theog,HP PWD Theog,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151730.0,chauhan,28-Feb-2020 04:33 PM,Rejected-Finance,No Responsive,02-Jun-2020 04:14 PM,AOC,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,151330.0,Laiq Ram Chauhan and Sons,26-Feb-2020 09:05 PM,Rejected-Finance,Non Responsive,02-Jun-2020 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,151620.0,Satish Kumar Vij,27-Feb-2020 10:49 PM,Rejected-Finance,Non Responsive,02-Jun-2020 04:14 PM,AOC,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall provide Asphalt Paver Strictly as per the direction of E-in-C with documentary proo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
