EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"12,000",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,09-Jun-2020 04:30 PM,18-Jun-2020 11:30 AM,09-Jun-2020 05:00 PM,17-Jun-2020 05:00 PM,NA ,NA ,09-Jun-2020 05:00 PM,17-Jun-2020 05:00 PM,08-Jul-2020 11:00 AM,PWD,Tender/2019-20-1150-1200dated 26.05.2020,2020_PWD_37870_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"A/R and M/O to housing board colony devinagar Paonta Sahib. (SH P/L wood work, repair to plaster, roof treatment, painting and distempering etc. in type-II qtrs No. 61, 67,72, 79, 88, 98 and Type-III qtrs No. 116, 129 and 131)","A/R and M/O to housing board colony devinagar Paonta Sahib. (SH P/L wood work, repair to plaster, roof treatment, painting and distempering etc. in type-II qtrs No. 61, 67,72, 79, 88, 98 and Type-III qtrs No. 116, 129 and 131)",please refer tender document ,NA ,"6,00,028",Civil Works - Buildings,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule f at sr.no.6.3,Executive Engineer,Executive Engineer HPPWD Paonta Sahib District Sirmour (HP),350.0,EE Paonta Sahib,Paonta Sahib,Yes,AOC,1.0,162796.0,Basti Ram,16-Jun-2020 02:35 PM,Accepted-AOC,L1,05-Aug-2020 12:59 PM,Technical,Summary,Dalip Singh Tomar,07-Jul-2020 04:32 PM,technical_55840.pdf,Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,05-Aug-2020 12:55 PM,finance_55840.pdf,BOQ Comparative Chart,1.0,162796.0,Basti Ram,INR,"742,392",PWD,2020_PWD_37870_4,Tender/2019-20-1150-1200dated 26.05.2020,"A/R and M/O to housing board colony devinagar Paonta Sahib. (SH P/L wood work, repair to plaster, roof treatment, painting and distempering etc. in type-II qtrs No. 61, 67,72, 79, 88, 98 and Type-III qtrs No. 116, 129 and 131)",Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Dalip Singh Tomar,07-Jul-2020 04:37 PM,08-Jul-2020 11:00 AM,techsummary_55840.pdf (1065.26 KB),Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Kumar Sinha Divisional Accountant., Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,05-Aug-2020 12:57 PM,finsummary_55840.pdf (428.04 KB),05-Aug-2020,"INR 600,028",90.0,Kishan Lal Chaudhary,05-Aug-2020 12:59 PM,aoc.pdf (909.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No.6.5,,,,,,,AOC,2.0,163031.0,DARSHAN SINGH,17-Jun-2020 03:29 PM,Rejected-Technical,Not Qualified,07-Jul-2020 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration- refer general rule sr. No 23,,,,,,,AOC,3.0,163079.0,DINESH KUMAR GUPTA,17-Jun-2020 04:35 PM,Rejected-Finance,L3,05-Aug-2020 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.21)and Permanent account number,,,,,,,AOC,4.0,162948.0,KAMLESH SHARMA,17-Jun-2020 10:58 AM,Rejected-Technical,Not Qualified,07-Jul-2020 04:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1,,,,,,,AOC,5.0,162933.0,Randhir Singh,17-Jun-2020 09:10 AM,Rejected-Finance,L2,05-Aug-2020 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.6.19Ref.Cl- No.18 i.e.R.C,purchase bills,ownership/Affidavit hire",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no 8 duly signed gen. Rule sr. No 26.7.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non gazetted officer hppwd employees related to him gen. Rule sr.no.16),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide. All Original affidavits submit with name of work.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
