Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,Repair of link road to Sheed Anil Kumar House in G.P. Thana Khas Km 0/000 to 1/000 in Distt Kangra (HP),"Removal of formation deficiency at RD 0/000 to 0/360, RCC Hume pipe 900mm dia culvert at RD 0/165, C/O edge wall at RD 0/000 to 0/060 and P/L Interlocking concrete paver block pavement at various RDs",Please refer Tender documents. ,NA ,"8,64,351",Civil Works - Roads,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,350.0,Executive Engineer HP PWD Tanda,Kangra,Yes,PWD,PWD Civil Work -1408-1437-Tanda,2020_PWD_38290_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,22-Jun-2020 05:00 PM,10-Jul-2020 11:30 AM,22-Jun-2020 05:00 PM,09-Jul-2020 05:00 PM,NA ,NA ,22-Jun-2020 05:00 PM,09-Jul-2020 05:00 PM,22-Jul-2020 11:00 AM,1.0,DD - Demand Draft,"17,300",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,AOC,Dr Suresh Kumar walia,Internal,ErAnkit AE Ajit Kumar Supdt Gr II Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,18-Jul-2020 04:56 PM,22-Jul-2020 11:00 AM,techsummary_56561.pdf (744.10 KB),PWD,2020_PWD_38290_3,PWD Civil Work -1408-1437-Tanda,Repair of link road to Sheed Anil Kumar House in G.P. Thana Khas Km 0/000 to 1/000 in Distt Kangra (HP),13-Aug-2020,"INR 1,014,905",90.0,Suresh Kumar Walia,20-Aug-2020 11:02 AM,Award.pdf (220.00 KB),Award,Dr Suresh Kumar walia,Internal,Er Ankit AE Ajit Kumar Supdt Gr II Suraj Parkash DAO,Suresh Kumar Walia,25-Jul-2020 11:29 AM,finsummary_56561.pdf (194.53 KB),1.0,166560.0,AMAN GORLA,08-Jul-2020 08:15 PM,Rejected-AOC,Lowest 4,20-Aug-2020 11:03 AM,Technical,Sum,Suresh Kumar Walia,18-Jul-2020 04:52 PM,technical_56561.pdf,1.0,166464.0,Ravinder Kumar,INR,"1,014,904.73",Finance,Sum,Suresh Kumar Walia,25-Jul-2020 11:08 AM,finance_56561.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,166522.0,Bhag Singh,08-Jul-2020 04:54 PM,Rejected-AOC,Lowest 3,20-Aug-2020 11:03 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registration,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,166662.0,cont,09-Jul-2020 02:55 PM,Rejected-Technical,Not Fulfill criteria,18-Jul-2020 04:57 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,166653.0,DILWAG SINGH GOVT. COT.,09-Jul-2020 02:05 PM,Rejected-AOC,Lowest 5,20-Aug-2020 11:03 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,166464.0,Ravinder Kumar,08-Jul-2020 02:12 PM,Accepted-AOC,Lowest 1,20-Aug-2020 11:03 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,166638.0,Sandeshran govt contractor,09-Jul-2020 02:59 PM,Rejected-AOC,Lowest 2,20-Aug-2020 11:03 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
