Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
21-Oct-2020,"INR 2,172,155",30.0,Gurcharan Singh Rana,23-Oct-2020 11:00 AM,Awardletter.pdf (826.00 KB),Awardletter,Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Arvind Choudhary AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,12-Oct-2020 05:48 PM,finsummary_60628.pdf (558.75 KB),Er.G.S. Rana E.E.,Internal,"Er. Kuldeep Singh AE to EE Arvind Choudhary AE Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Prem Chand, Sr. Assistant",Gurcharan Singh Rana,07-Oct-2020 02:46 PM,09-Oct-2020 10:00 AM,techsummary_60628.pdf (335.46 KB),PWD,2020_PWD_41099_1,Job 2 Annual surfacing on link road Una Jaijon,"Job 2 Annual surfacing on link road Una Jaijon road to village Roura km.0-0 to 1-455 and 1-836 to 2-136 VR 0133 and link road Gondpur Baliwal road to Bathu Singan km.4-0 to 5-0 VR 036 and Sub Head P.L Patch work,30mm bitumen concrete Under",Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,03-Oct-2020 01:21 PM,technical_60628.pdf,1.0,180499.0,bakshiram govt contractor,30-Sep-2020 12:37 PM,Rejected-AOC,ok,23-Oct-2020 11:02 AM,1.0,180725.0,SS CONSTRUCTION COMPANY,INR,"2,294,935",Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,12-Oct-2020 05:08 PM,finance_60628.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"40,100",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",25-Sep-2020 02:00 PM,01-Oct-2020 11:00 AM,25-Sep-2020 03:30 PM,01-Oct-2020 09:00 AM,NA ,NA ,25-Sep-2020 03:30 PM,01-Oct-2020 09:00 AM,09-Oct-2020 10:00 AM,PWD,Job 2 Annual surfacing on link road Una Jaijon,2020_PWD_41099_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Job 2 Annual surfacing on link road Una Jaijon road to village Roura km.0-0 to 1-455 and 1-836 to 2-136 VR 0133 and link road Gondpur Baliwal road to Bathu Singan km.4-0 to 5-0 VR 036 and Sub Head P.L Patch work,30mm bitumen concrete Under","Job 2 Annual surfacing on link road Una Jaijon road to village Roura km.0-0 to 1-455 and 1-836 to 2-136 VR 0133 and link road Gondpur Baliwal road to Bathu Singan km.4-0 to 5-0 VR 036 and Sub Head P.L Patch work,30mm bitumen concrete Under",Please refer to Bidding Documents ,NA ,"21,72,155",Civil Works - Roads,NA ,Tender,120.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,500.0,"Executive Engineer, Una Division, HPPWD, Una",Una,No,1.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,180740.0,Ishan Thakur,30-Sep-2020 09:46 PM,Rejected-AOC,ok,23-Oct-2020 11:02 AM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,180623.0,R.D. DUVEDI,30-Sep-2020 04:55 PM,Rejected-AOC,ok,23-Oct-2020 11:02 AM,,,,,,,,,,,,AOC,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,180734.0,Shivalik Construction Company,30-Sep-2020 08:03 PM,Rejected-AOC,ok,23-Oct-2020 11:02 AM,,,,,,,,,,,,AOC,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,180725.0,SS CONSTRUCTION COMPANY,01-Oct-2020 07:07 AM,Accepted-AOC,ok,23-Oct-2020 11:02 AM,,,,,,,,,,,,AOC,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
