Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT.,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 16027-16107 dt 26-02-2021,2021_HPIPH_44930_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Augmentation/Improvement of source LWSS Matter Bheron in Tehsil Nahan Distt Sirmour HP,"C/O tubular intake 8 No. and C/O storage tank 8 Nos., 20000 ltrs capacity each",Please refer Tender documents. ,NA ,"20,24,169",Civil Works,NA ,Tender,120.0,NA ,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,01-Mar-2021 06:55 PM,08-Mar-2021 11:30 AM,01-Mar-2021 06:55 PM,08-Mar-2021 11:00 AM,NA ,NA ,01-Mar-2021 06:55 PM,08-Mar-2021 11:00 AM,18-Mar-2021 05:15 PM,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"38,000",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,ICICI BANK,AOC,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_44930_10,NHN-SMR00-722- 16027-16107 dt 26-02-2021,Augmentation/Improvement of source LWSS Matter Bheron in Tehsil Nahan Distt Sirmour HP,Dr. Mandeep Gupta EE,Internal,TA Supdt DAO HDM EE,Mandeep Gupta,18-Mar-2021 05:11 PM,18-Mar-2021 05:15 PM,techsummary_67533.pdf (100.82 KB),Technical,Technical Bid OPening Summary,Mandeep Gupta,18-Mar-2021 05:08 PM,technical_67533.pdf,1.0,202179.0,Bhaw Singh,INR,"1,736,597",1.0,202179.0,Bhaw Singh,08-Mar-2021 09:16 AM,Accepted-AOC,AOC,17-May-2021 01:30 PM,17-May-2021,"INR 2,024,169",90.0,Mandeep Gupta,17-May-2021 01:30 PM,AOC.pdf (687.00 KB),Award to Contractor,Finance,Financial Bid Opening Summary,Mandeep Gupta,18-Mar-2021 06:11 PM,finance_67533.pdf,BOQ Comparative Chart,Dr. Mandeep Gupta EE,Internal,DM HDM EE,Mandeep Gupta,17-May-2021 01:28 PM,finsummary_67533.pdf (686.87 KB),AOC
,,.pdf,Cost of TEnder Form as mentioned in NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,202082.0,imIMRAN SHAH,06-Mar-2021 08:07 PM,Rejected-Finance,Rejected,17-May-2021 01:28 PM,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Registration in HPJSV as mentioned in NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF Registration as mentioned in NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PAN No. and GST No. as mentioned in NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertakng regarding Joint Venture is not alllowed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
