Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Superintending Engineer,Internal,"Superintending Engineer, E.E (D) Palampur, E.E. Jaisinghpur, DAO Jaisinghpur, C.H.D. Palampur, Supdt G-II (works) Palampur",R.K Dhiman,30-Jul-2021 11:16 AM,finsummary_69460.pdf (281.02 KB),31-Jul-2021,"INR 45,078,462",365.0,R.K Dhiman,31-Jul-2021 03:15 PM,Award.pdf (205.00 KB),Award,PWD,2021_PWD_46185_1,Jhamoon to Jaisinghpur road NABARD XXVI,"Improvement, Widening and Strengthening of Jhamoon to Jaisinghpur road Km 8/0 to 18/300",Superintending Engineer,Internal,"Superintending Engineer, Executive Engineer (D) 5th Circle, Executive Engineer Jaisinghpur, DAO, CHD, Supdt G-II (Works) 5th circle",R.K Dhiman,30-Apr-2021 11:19 AM,04-May-2021 11:00 AM,techsummary_69460.pdf (480.43 KB),1.0,208107.0,Kulvinder,INR,"30,806,613",Finance,Summary,R.K Dhiman,30-Jul-2021 11:03 AM,finance_69460.pdf,BOQ Comparative Chart,Technical,Summary,R.K Dhiman,30-Apr-2021 11:13 AM,technical_69460.pdf,1.0,209202.0,G.P.ACHARYA,20-Apr-2021 02:15 PM,Rejected-AOC,Rejected due to higher rates bidder L2,31-Jul-2021 03:15 PM,AOC,05-Apr-2021 10:30 AM,21-Apr-2021 11:00 AM,05-Apr-2021 10:30 AM,20-Apr-2021 03:00 PM,NA ,NA ,05-Apr-2021 10:30 AM,20-Apr-2021 03:00 PM,04-May-2021 11:00 AM,Superintending Engineer,"SE 5th Circle HPPWD, Palampur",1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6.,"Improvement, Widening and Strengthening of Jhamoon to Jaisinghpur road Km 8/0 to 18/300","Imp.of roads,C/O Passing places, R/wall, Missing C.D. work, GSB, WBM-II, WBM-III,Tarring work, CC Pavement, Side Drain , parapetsand road side furniture including routine maintenance for five years after comple",Please refer Tender documents. ,NA ,"4,50,78,462",Civil Works - Roads,NA ,Tender,75.0,365.0,Jaisinghpur,176095.0,NA ,NA ,NA ,"SE 5th Circle HPPWD, Palampur",No ,No,1.0,ICICI BANK,PWD,Jhamoon to Jaisinghpur road NABARD XXVI,2021_PWD_46185_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"9,02,000",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,208107.0,Kulvinder,20-Apr-2021 01:39 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,31-Jul-2021 03:15 PM,AOC,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No-3,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,209166.0,VISHAL RAJPUT,20-Apr-2021 01:02 PM,Rejected-AOC,Rejected due to higher rates bidder L3,31-Jul-2021 03:15 PM,AOC,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 Cl(4.2,4.4 -A and B)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"Others documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Liquidated damage as per section 4 and point No.44.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"Declaration regarding Custom/Excise duty exemption for Materials, Equipments duly signed on prescrib",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Any other information bidder would like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.pdf,Part-II of the Bid as per Section-6 and 7 a/w item rates offered by the Employer for Routine Mainten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
