Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,500.0,Nil,Nil,No,"35,850",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender Form,Construction of Halipad at Nagrota Bagwan (Massal) in Distt. Kangra (Himachal Pradesh).(,Construction of Runway for Halipad (DEPOSIT WORK),Please refer Tender documents. ,NA ,"18,89,798",Civil Works,NA ,Tender,120.0,90.0,Tanda,176002.0,NA ,NA ,NA ,Executive Engineer,No ,No,26-May-2021 09:00 AM,08-Jun-2021 11:30 AM,26-May-2021 09:00 AM,07-Jun-2021 05:00 PM,NA ,NA ,26-May-2021 09:00 AM,07-Jun-2021 05:00 PM,11-Jun-2021 11:00 AM,PWD,PWD-461-90-Civil,2021_PWD_47760_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,215180.0,Anuj KAHLOH,06-Jun-2021 11:55 AM,Rejected-Finance,Lowest 2,17-Jun-2021 12:30 PM,Technical,Sum,Suresh Kumar Walia,09-Jun-2021 05:06 PM,technical_71636.pdf,1.0,214732.0,Sunny,INR,"1,566,755",Finance,Sum,Suresh Kumar Walia,14-Jun-2021 01:11 PM,finance_71636.pdf,BOQ Comparative Chart,Dr Suresh kumar Walia,Internal,"ER Surinder, Suraj parkash Sr DAO,Kartar Supdt, Ajay HDM , Ashok TA",Suresh Kumar Walia,09-Jun-2021 05:11 PM,11-Jun-2021 11:00 AM,techsummary_71636.pdf (1535.64 KB),PWD,2021_PWD_47760_1,PWD-461-90-Civil,Construction of Halipad at Nagrota Bagwan (Massal) in Distt. Kangra (Himachal Pradesh).(,06-Jul-2021,"INR 1,566,755",90.0,Ankit Kumar,07-Jul-2021 11:49 AM,Award.pdf (453.00 KB),Award,Dr Suresh Kumar walia,Internal,Er Surinder AE Kartar Chand Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,17-Jun-2021 12:30 PM,finsummary_71636.pdf (187.93 KB),AOC
,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,214732.0,Sunny,07-Jun-2021 11:08 AM,Accepted-AOC,Award,07-Jul-2021 11:49 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,215164.0,sunny verma,05-Jun-2021 11:10 PM,Rejected-Finance,Lowest 3,17-Jun-2021 12:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
