EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"23,500",No,fixed,,EE Bharwain,PNB at Amb,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,PWD,C/O L/R Village Nalauti Under Bharwain Divn,2021_PWD_44416_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Division HPPWD Bharwain,Construction of link road to village Nalauti km 000 to 1500 SH Providing and laying paver block between km 000 to 0375 Under MMGSY,Construction of link road to village Nalauti km 000 to 1500 SH Providing and laying paver block between km 000 to 0375 Under MMGSY,Tender documents  ,NA ,,Civil Works,road ,Tender,120.0,23500.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,500.0,EE Bharwain,PNB at AMB,No,1.0,DD - Demand Draft,16-Feb-2021 05:00 PM,23-Feb-2021 11:30 AM,16-Feb-2021 05:00 PM,22-Feb-2021 05:00 PM,NA ,NA ,16-Feb-2021 05:00 PM,22-Feb-2021 05:00 PM,05-Mar-2021 11:30 AM,AOC,1,199813,Ajmer Singh Govt. Contractor,22-Feb-2021 04:42 PM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,Technical,Proceeding attached,Harbans Lal Sharma,04-Mar-2021 03:08 PM,technical_66591.pdf,1.0,199549.0,RAHUL SHARMA,INR,"949,150",Finance,Proceeding attached,Harbans Lal Sharma,07-Mar-2021 01:41 PM,finance_66591.pdf,BOQ Comparative Chart,Er. H.L. Sharma,Internal,Proceeding attached,Harbans Lal Sharma,04-Mar-2021 03:14 PM,05-Mar-2021 11:30 AM,techsummary_66591.pdf (2072.14 KB),PWD,2021_PWD_44416_1,C/O L/R Village Nalauti Under Bharwain Divn,Construction of link road to village Nalauti km 000 to 1500 SH Providing and laying paver block between km 000 to 0375 Under MMGSY,30-Mar-2021,"INR 1,175,000",23500.0,Harbans Lal Sharma,16-Aug-2021 06:06 PM,AWNo18589-97dated09032021.PDF (285.00 KB),AW No. 18589-97 dated 09-03-2021,Er. H.L. Sharma,Internal,Proceeding attached,Harbans Lal Sharma,07-Mar-2021 01:53 PM,finsummary_66591.pdf (488.77 KB),AOC
,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,AOC,2,199665,Deepak Kumar Jarial,21-Feb-2021 10:48 PM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,All conditions shown in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,199680,KARAN SINGH,22-Feb-2021 07:45 AM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,199801,malkiat singh govt cont,22-Feb-2021 03:49 PM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,199836,PUSHPINDER SINGH,22-Feb-2021 04:49 PM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,199549,RAHUL SHARMA,22-Feb-2021 01:48 PM,Accepted-AOC,Accepted,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,199561,RAKESH KUMAR,22-Feb-2021 03:42 PM,Rejected-Technical,Un-Respossive,04-Mar-2021 03:14 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,199360,ROHIT JASWAL,21-Feb-2021 12:02 PM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,199605,Rohit Rai,22-Feb-2021 08:00 AM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,199650,Vikas puri,21-Feb-2021 09:19 PM,Rejected-AOC,Rejected,16-Aug-2021 06:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
