Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),PWD,No.BGN/2020-21-2997-3016 dated 23.06.2021Job1,2021_PWD_49133_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Balance work for the Construction of link road from Harizen Basti Barnoh Dangoli via Rajputan Jattan Sour Mohalla km. 0/000 to 5/880,"C/O R/Wall , Crash Barrier , P/L road marking with Hot Applied thermoplastic and P/F Road Markers/ road stud with lens reflector ) under NABARD RIDF -XXIII",Please refer Tender documents. ,NA ,"65,15,551",Civil Works - Roads,NA ,Tender,120.0,270.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,"2,000",Nil,Nil,No,"1,30,400",Yes,fixed,,Nil,Nil,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,29-Jun-2021 11:00 AM,12-Jul-2021 11:00 AM,29-Jun-2021 11:30 AM,10-Jul-2021 06:00 PM,NA ,NA ,29-Jun-2021 11:30 AM,10-Jul-2021 06:00 PM,15-Jul-2021 10:30 AM,1.0,ICICI BANK,AOC,PWD,2021_PWD_49133_1,No.BGN/2020-21-2997-3016 dated 23.06.2021Job1,Balance work for the Construction of link road from Harizen Basti Barnoh Dangoli via Rajputan Jattan Sour Mohalla km. 0/000 to 5/880,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,14-Jul-2021 05:13 PM,15-Jul-2021 10:30 AM,techsummary_73621.pdf (486.26 KB),Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,15-Jul-2021 05:30 PM,finsummary_73621.pdf (471.74 KB),21-Aug-2021,"INR 5,914,581",270.0,SHASHI PAL,21-Aug-2021 03:06 PM,AOCNABARDwork.pdf (545.00 KB),Work Awarded,1.0,222083.0,Ashwani Kumar,INR,"5,914,581",Finance,Fin bid opened,SHASHI PAL,15-Jul-2021 05:21 PM,finance_73621.pdf,BOQ Comparative Chart,1.0,222415.0,ankush kapil,10-Jul-2021 02:33 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,Technical,Tech bid opened,SHASHI PAL,14-Jul-2021 05:11 PM,technical_73621.pdf,AOC
,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,222413.0,ARUN LATH,10-Jul-2021 02:21 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,222083.0,Ashwani Kumar,09-Jul-2021 08:35 PM,Accepted-AOC,Lowest,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,221779.0,Chander Kumar,10-Jul-2021 12:17 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,220821.0,KULDEEP SINGH GOVT. CONTRACTOR,05-Jul-2021 02:00 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,222191.0,Lalit Joshi,09-Jul-2021 02:43 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,221275.0,Manoj Kumar,10-Jul-2021 05:43 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,222055.0,PUSHPINDER SINGH,10-Jul-2021 02:53 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,222001.0,ravinder kumar,09-Jul-2021 06:48 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,221610.0,Vikas puri,08-Jul-2021 09:54 PM,Rejected-AOC,Higher side,21-Aug-2021 03:06 PM,,,,,,AOC
