Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
28-Jul-2021 05:00 PM,04-Aug-2021 11:00 AM,28-Jul-2021 05:00 PM,02-Aug-2021 05:00 PM,NA ,NA ,28-Jul-2021 05:00 PM,02-Aug-2021 05:00 PM,12-Aug-2021 11:05 AM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,EE CHOPAL,CHOPAL,No,PWD,PW_CHD_CBE9/2021- 3337-3436 dt 03-07-2021,2021_PWD_50492_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O Balance work of Senior Secondary building at Kupvi,"Brick work,ceilling ,steel truss AND prepainted sheet roofing",Please refer Tender documents ,NA ,"10,25,400",Civil Works - Buildings,NA ,Tender,120.0,60.0,CHOPAL,171211.0,NA ,NA ,NA ,CHOPAL,No ,No,1.0,DD - Demand Draft,EE CHOPAL,HPPWD CHOPAL,"21,000",No,fixed,,EE CHOPAL,CHOPAL,AOC,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,J.C. Kango,12-Aug-2021 11:03 AM,12-Aug-2021 11:05 AM,techsummary_75527.pdf (91.60 KB),PWD,2021_PWD_50492_1,PW_CHD_CBE9/2021- 3337-3436 dt 03-07-2021,C/O Balance work of Senior Secondary building at Kupvi,27-Oct-2021,"INR 1,564,076",60.0,Ajay Gazta,27-Oct-2021 04:52 PM,AOC.pdf (166.00 KB),AOC,Er JC Kanungo,Internal,Er JC Kanungo Suptt DAO DHD TA,Ajay Gazta,27-Oct-2021 04:49 PM,finsummary_75527.pdf (42.71 KB),1.0,227147.0,Pawan Kumar,INR,"1,564,076",Finance,Bid Opening Summary,Ajay Gazta,27-Oct-2021 04:45 PM,finance_75527.pdf,BOQ Comparative Chart,1.0,226697.0,ashok kumar,02-Aug-2021 04:56 PM,Rejected-Technical,Non Responsive,12-Aug-2021 11:03 AM,Technical,Bid Opening Summary,J.C. Kango,12-Aug-2021 11:01 AM,technical_75527.pdf,AOC
,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227017.0,Basant Singh,02-Aug-2021 09:02 AM,Rejected-Technical,Non Responsive,12-Aug-2021 11:03 AM,,,,,,AOC
,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227147.0,Pawan Kumar,02-Aug-2021 04:14 PM,Accepted-AOC,Accepted,27-Oct-2021 04:52 PM,,,,,,AOC
,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,227136.0,RAJENDER SINGH,02-Aug-2021 03:41 PM,Rejected-AOC,Rejected,27-Oct-2021 04:52 PM,,,,,,AOC
,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
