S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Coprrigendum notice regarding specification of smal seed processing unit machine,Other,,Director of Research (Agri.),"Assam Agricultural University, Jorhat, Pin-785013",Assam Agricultural University||Directorate of Research (Agri.),7(227.2)/03/Proc/10012-22,2021_AAU_22718_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Technical Bid,"5,70,050",Yes,fixed,,Nil,Nil,1.0,SBI Bank,Procurement of Post-Harvest machineries,Procurement of different Post-Harvest machineries under APART,Please refer Tender documents. ,NA ,,Farm Machinery and Equipments,NA ,Tender,90.0,45.0,Director of Research (Agri.),785013.0,NA ,NA ,NA ,Jorhat,No ,No,01-Sep-2021 05:30 PM,15-Sep-2021 03:30 PM,01-Sep-2021 05:30 PM,15-Sep-2021 02:30 PM,05-Sep-2021 09:30 AM ,08-Sep-2021 04:30 PM ,11-Sep-2021 09:30 AM,15-Sep-2021 02:30 PM,26-Oct-2021 05:15 PM,"1,000",Nil,Nil,No,AOC,1,122872,ADVANCE INSTRUMENTS,14-Sep-2021 07:58 PM,Rejected-Technical,Due to delivery schedule (Purchaser requirement form 1) not submitted,26-Oct-2021 05:08 PM,Assam Agricultural University||Directorate of Research (Agri.),2021_AAU_22718_1,7(227.2)/03/Proc/10012-22,Procurement of Post-Harvest machineries,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,122840,AGRARIAN DEVELOPMENT CONSULTANT PRIVATE LIMITED,15-Sep-2021 04:06 AM,Rejected-Technical,Due self deceleartion certificate not provided regarding After sales service and Document to demontrate that the firm is in business for the last 3 years not submitted,26-Oct-2021 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,122810,AGRO ASIAN INDUSTRIES,15-Sep-2021 01:36 PM,Rejected-Technical,Approval certificate from proper authority of automatic weighing and Moisture Meter not submitted,26-Oct-2021 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,122894,ALFA INSTRUMENTS,14-Sep-2021 11:20 PM,Accepted-AOC,Awarded for Rice Flake Machine,16-Nov-2021 03:09 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,122832,Deep Sales Corporation,15-Sep-2021 01:35 PM,Rejected-Finance,for Small Seed Processing Unit,16-Nov-2021 12:35 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,122804,DELTA TECHNOLOGIES,15-Sep-2021 12:39 PM,Rejected-Finance,for Portable Rice Mill,16-Nov-2021 12:35 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,122859,J.S.INDUSTRIES,15-Sep-2021 01:53 PM,Accepted-AOC,Awarded for Reaper Drum seeder Grain Quality Kit RE-circulating Batch Dryer Moisture Meter and Paddy Transplanter,16-Nov-2021 03:09 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,122884,Mazel Electric (India) Limited,15-Sep-2021 02:18 PM,Rejected-Technical,Due to similar nature of work order copy is not attached which is mandatory,26-Oct-2021 05:08 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,122906,M/s. Shakti Corporation,15-Sep-2021 01:35 PM,Accepted-AOC,Awarded for Open drum Thresher and Rice Puffing Machine,16-Nov-2021 03:09 PM,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,122822,M/S- VASHNAV ENTERPRIESE,13-Sep-2021 03:34 PM,Rejected-Technical,Due to similar nature of work order copy is not attached which is mandatory,26-Oct-2021 05:08 PM,,,,,AOC
