Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Work Done AS per NIT Conditions,"4,05,850",Yes,fixed,,EE Nohradhar,Nohradhar,Providing LWSS to PC hab. of various GP under Jal Shakti Sub Division Chandol in Tehsil Rajgarh Distt. Sirmour,"SH Laying, Jointing, Testing , Commissioning of GMS pipe line in distribution system and providing FHTC to balance households",Please refer Tender documents. ,NA ,,Pipe Laying Works,Distribution System FHTC ,Tender,120.0,180.0,Nohradhar,173104.0,NA ,NA ,NA ,Nohradhar,No ,No,Executive Engineer,Jal Shakti Division Nohradhar,"2,500",EE Nohradhar,Nohradhar,No,05-Jun-2021 04:00 PM,14-Jun-2021 11:30 AM,05-Jun-2021 04:00 PM,14-Jun-2021 11:00 AM,NA ,NA ,05-Jun-2021 04:00 PM,14-Jun-2021 11:00 AM,15-Jul-2021 12:00 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2828-2927 Dated - 02-06-2021,2021_HPIPH_48169_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,AOC,Cheif Engineer,Internal,SE EE AE Suptd,Mohd. Arshad Rehman,15-Jul-2021 11:24 AM,15-Jul-2021 12:00 PM,techsummary_72213.pdf (480.43 KB),1.0,216541.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,13-Jun-2021 07:32 PM,Rejected-Finance,L3,29-Dec-2021 02:37 PM,Finance,Financial Summary,Mohd. Arshad Rehman,15-Jul-2021 12:42 PM,finance_72213.pdf,BOQ Comparative Chart,Technical,Technical Bid Summury,Mohd. Arshad Rehman,15-Jul-2021 11:18 AM,technical_72213.pdf,29-Dec-2021,"INR 41,396,533",180.0,Tilak Raj Pathak,29-Dec-2021 02:49 PM,AWD.pdf (399.00 KB),Work Awarded to M/S hydraulic Engineer,Executive Engineer,Internal,TA DAO Gr-II DHD Suptd,Tilak Raj Pathak,29-Dec-2021 02:37 PM,finsummary_72213.pdf (198.97 KB),1.0,216531.0,HYDRAULIC ENGINEERING COMPANY,INR,"41,396,533","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nauradhar Dn,Irrigation and Public Health,HP",2021_HPIPH_48169_1,2828-2927 Dated - 02-06-2021,Providing LWSS to PC hab. of various GP under Jal Shakti Sub Division Chandol in Tehsil Rajgarh Distt. Sirmour,AOC
,,.pdf,The cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,2.0,216531.0,HYDRAULIC ENGINEERING COMPANY,13-Jun-2021 07:15 PM,Accepted-AOC,Awarded,29-Dec-2021 02:49 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,The Earnest Money duly pledged in favor of Executive Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,216623.0,Vijay Kumar,14-Jun-2021 10:40 AM,Rejected-Finance,L2,29-Dec-2021 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,g) An affidavit that the firm has not ever been black listed by any Government/Semi Government/Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,h) PAN Number (PAN CARD).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of Income Tax.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Copy of GST Registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF Registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,m) Income tax Return for the year 2019-20 (Assessment year 2020-21) and GST latest clearance certifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
