Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Stage
Technical,Summary,Arvind Lakhanpal,17-Apr-2021 11:30 AM,technical_69679.pdf,1.0,208459.0,MOHINDER PAL GOVT. CONTRACTOR,14-Apr-2021 12:53 PM,Accepted-AOC,1,02-Dec-2021 03:27 PM,1.0,208459.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"5,029,415",Finance,finbid,Arvind Lakhanpal,17-May-2021 04:38 PM,finance_69679.pdf,BOQ Comparative Chart,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,17-May-2021 05:08 PM,finsummary_69679.pdf (892.36 KB),27-Oct-2021,"INR 5,953,874",60.0,Arvind Lakhanpal,02-Dec-2021 03:27 PM,MShamaRangerDhail.pdf (826.00 KB),AOC,PWD,2021_PWD_46271_1,No.PWD/TDD/GA-TD,Annual Maintenance Plan for the year 2021-22 on (i) Ranger Dhail Khas road km. 0/0 to 1/0 HP0301VR0029. (ii) Link road Chalokhar Balsawahal km. 0/0 to 1/0 HP0301VR0129 (iii) Link road to village Bugdhar (Chabutra Amroh road) km. 0/0 to 2/0 HP0301VR00,EE,Internal,SUPDT/HDM/AE,Arvind Lakhanpal,20-Apr-2021 05:15 PM,22-Apr-2021 10:30 AM,techsummary_69679.pdf (1639.95 KB),AOC,1.0,Date,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,"1,500",Nil,Nil,No,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi","91,100",No,fixed,,Nil,Nil,08-Apr-2021 11:40 AM,16-Apr-2021 11:00 AM,08-Apr-2021 11:40 AM,15-Apr-2021 10:30 AM,NA ,NA ,08-Apr-2021 11:40 AM,15-Apr-2021 10:30 AM,22-Apr-2021 10:30 AM,PWD,No.PWD/TDD/GA-TD,2021_PWD_46271_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Annual Maintenance Plan for the year 2021-22 on (i) Ranger Dhail Khas road km. 0/0 to 1/0 HP0301VR0029. (ii) Link road Chalokhar Balsawahal km. 0/0 to 1/0 HP0301VR0129 (iii) Link road to village Bugdhar (Chabutra Amroh road) km. 0/0 to 2/0 HP0301VR00,/L 30mm thick B.C. 2.5mm thick road marking thermoplastic strip,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,60.0,60.0,Tauni Devi Executive Engineer,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,1.0,ICICI BANK,AOC
,,,,,2.0,208341.0,MSC Roads and Bridges Private Limited,14-Apr-2021 07:05 PM,Rejected-Finance,L2,17-May-2021 05:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Bid Capapcity as per rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"List of Machinery, Tool , Hot Mix Plant within 30 km as per SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
