Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Financial bid opening summary,Vijay Kumar Chauhan,23-Aug-2021 01:35 PM,finance_75614.pdf,BOQ Comparative Chart,1.0,227937.0,Rakesh Verma,INR,"25,712,170",Technical,Bid Opening summary,Vijay Kumar Chauhan,09-Aug-2021 01:29 PM,technical_75614.pdf,1.0,227402.0,Des Raj Thakur,06-Aug-2021 02:06 PM,Rejected-Finance,Being L2,25-Nov-2021 04:00 PM,Chief Engineer South Zone,Internal,"S.E. 4th, Circle, SE(D III) Chief Office, Joint Controller and Executive Engineer, Theog Division",Vijay Kumar Chauhan,25-Nov-2021 04:00 PM,finsummary_75614.pdf (324.46 KB),20-Dec-2021,"INR 32,873,044",365.0,Rajesh Kumar,23-Dec-2021 03:33 PM,Summary.pdf (972.00 KB),Award letter,PWD,2021_PWD_50559_1,PW.THD/CB-tender/2021-3682-93,"Balance work of Modern Bus Stand at Theog District Shimla, HP",Vijay Kumar Chauhan,Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,17-Aug-2021 02:04 PM,20-Aug-2021 11:00 AM,techsummary_75614.pdf (847.40 KB),AOC,"5,000",Nil,Nil,No,30-Jul-2021 03:00 PM,07-Aug-2021 11:00 AM,30-Jul-2021 05:00 PM,06-Aug-2021 05:00 PM,NA ,NA ,30-Jul-2021 05:00 PM,06-Aug-2021 05:00 PM,20-Aug-2021 11:00 AM,"3,62,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla,HP",1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,"Balance work of Modern Bus Stand at Theog District Shimla, HP","Construction of Building portion, W.S. and S.I. , Metalling and tarring in approach road, site development by providing PCC Breast walls and construction of foot path etc",As per GCC ,NA ,"3,28,73,044",Civil Works - Roads,NA ,Tender,120.0,365.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,PW.THD/CB-tender/2021-3682-93,2021_PWD_50559_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,227963.0,P K Construction Shimla Pvt Ltd,06-Aug-2021 04:27 PM,Rejected-Finance,Being higher rates,25-Nov-2021 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,227937.0,Rakesh Verma,06-Aug-2021 04:37 PM,Accepted-AOC,Being lowest one,23-Dec-2021 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of Charted Accountant Showing total annual volume in the last five years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,227647.0,Ramesh Hetta,05-Aug-2021 10:51 AM,Rejected-Finance,Being higher rates,25-Nov-2021 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,227919.0,surinder singh chauhan,06-Aug-2021 04:35 PM,Rejected-Finance,Being Higher rate,25-Nov-2021 04:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in SBD duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
