Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,04-Mar-2022 11:14 AM,finsummary_85819.pdf (325.19 KB),22-Mar-2022,"INR 711,657",30.0,Dev Raj,22-Mar-2022 02:41 PM,A.O.C.pdf (733.00 KB),Attached,PWD,2022_PWD_56912_1,"C/O LINK ROAD JAURE AMB BADITAR, KALWARA, KARSAI N","C/O LINK ROAD JAURE AMB BADITAR, KALWARA, KARSAI NANWAN ROAD KM. 0/0 TO 3/500.",ERxecutive Engiineer,Internal,"Tendedr Asstt, Supdt, HDM, DAO",Dev Raj,02-Mar-2022 05:05 PM,03-Mar-2022 11:30 AM,techsummary_85819.pdf (1463.69 KB),Technical,Attached,Dev Raj,02-Mar-2022 05:03 PM,technical_85819.pdf,1.0,266800.0,Dinesh Kumar Sharma,26-Feb-2022 06:35 AM,Rejected-Finance,L1L2L3,04-Mar-2022 11:14 AM,Finance,Attached,Dev Raj,04-Mar-2022 11:10 AM,finance_85819.pdf,BOQ Comparative Chart,1.0,266660.0,Subash Chand,INR,"711,657.2",AOC,1.0,ICICI BANK,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,"C/O LINK ROAD JAURE AMB BADITAR, KALWARA, KARSAI NANWAN ROAD KM. 0/0 TO 3/500.",H P/L CONCRETE PAVEMENT AT VARIOUS RDS AND R/WALL AT RD. 0/900 TO 0/912) (UNDER DEMAND NO. 10 MAJOR HEAD- Under Head 5054-04-789-05-SOON (SCSP Head),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,60.0,30.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"11,600",No,fixed,,Nil,Nil,PWD,"C/O LINK ROAD JAURE AMB BADITAR, KALWARA, KARSAI N",2022_PWD_56912_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,19-Feb-2022 10:30 AM,26-Feb-2022 12:30 PM,19-Feb-2022 10:30 AM,26-Feb-2022 10:30 AM,NA ,NA ,19-Feb-2022 10:30 AM,26-Feb-2022 10:30 AM,03-Mar-2022 11:30 AM,350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,266569.0,Sanjeev Kumar,25-Feb-2022 03:21 PM,Rejected-Finance,L1L2L3,04-Mar-2022 11:14 AM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,266660.0,Subash Chand,25-Feb-2022 06:06 PM,Accepted-AOC,L1,22-Mar-2022 02:41 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,AOC
