Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Er Rajeev Sharma SE,Internal,EE D EE Baijnath AE D Supdt Gr I,Eshant Thakur,04-Mar-2022 10:20 AM,finsummary_83950.pdf (1737.81 KB),07-Apr-2022,"INR 64,976,682.56",540.0,Eshant Thakur,18-Apr-2022 04:03 PM,AOCLanghu.pdf (727.00 KB),AOC and LOA,PWD,2022_PWD_55862_1,PW-SE-JNR-2021-22-7637-7706,Up-Gradation and Strengthening of Langhu Sakri Bahi Nohra Kunsal Mandhol Bandiyan via Thara Road Km 0/0 to 10/980,Er Rajeev Sharma SE,Internal,Supdt Gr I AE D EE Baijnath EE D,Eshant Thakur,10-Feb-2022 05:49 PM,19-Feb-2022 11:00 AM,techsummary_83950.pdf (3163.26 KB),Finance,Financial Summary,Eshant Thakur,19-Feb-2022 03:43 PM,finance_83950.pdf,BOQ Comparative Chart,1.0,259656.0,VISHAL RAJPUT,INR,"64,976,682.56",Technical,Technical Bid opening Summary,Eshant Thakur,31-Jan-2022 06:09 PM,technical_83950.pdf,1.0,259561.0,Kuldeep Chand Rana,31-Jan-2022 09:46 AM,Rejected-Technical,Non Responsive,10-Feb-2022 05:50 PM,AOC,"5,000",Nil,Nil,No,Up-Gradation and Strengthening of Langhu Sakri Bahi Nohra Kunsal Mandhol Bandiyan via Thara Road Km 0/0 to 10/980,"Improvement of Road, Passing Places, R/Walls, Missing C.D. Work, GSB, WBM-II, WBM-III, Tarring work, BM, CC Pavement, Side Drain and Parapets including 5 year routine maintenance after completion the work.) (Under NABARD RIDF XXVII",Please refer Tender documents. ,NA ,"6,28,27,324",Civil Works - Roads,NA ,Tender,90.0,540.0,Langhu,176125.0,NA ,NA ,NA ,SE JNR Circle HPPWD Joginder Nagar,No ,No,"12,57,000",No,fixed,,Nil,Nil,20-Jan-2022 10:00 AM,31-Jan-2022 11:30 AM,20-Jan-2022 12:00 PM,31-Jan-2022 10:00 AM,NA ,NA ,20-Jan-2022 05:00 PM,31-Jan-2022 10:00 AM,19-Feb-2022 11:00 AM,1.0,ICICI BANK,PWD,PW-SE-JNR-2021-22-7637-7706,2022_PWD_55862_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SE JNR Circle HPPWD Joginder Nagar,SE JNR Circle HPPWD Joginder Nagar,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part-I of Bid,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,259721.0,YUDHVIR SINGH,INR,"66,758,806.01",,,,,,2.0,259755.0,P. L. SHARMA,31-Jan-2022 09:45 AM,Accepted-AOC,Rejected due to L2,18-Apr-2022 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Demand Draft as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,259755.0,P. L. SHARMA,INR,"65,809,766.2",,,,,,3.0,259656.0,VISHAL RAJPUT,30-Jan-2022 07:35 PM,Accepted-AOC,Accepted due to L1 and work awarded to the contractor,18-Apr-2022 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Bid Security as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,259721.0,YUDHVIR SINGH,30-Jan-2022 10:56 PM,Accepted-AOC,Rejected due to L3,18-Apr-2022 04:03 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.1.1 as per SBD Section 2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4B (a) i and ii. SBD Section 2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (c) SBD Section 2,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Q.I. 4.4 B (b) (i) as per Appendix to SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authority to seek references from the Bidders bankers,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that the bid shall remain valid specified period in clause 15.1,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Evidence of access of credit and availability of financial resources clause 4.2 (g),AOC
