S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Stage
1.0,253842.0,DCC BUILDCON PVT. LTD.,INR,"15,730,518.35",Finance,Attached,Vivek Sharma,21-Feb-2022 12:46 PM,finance_81859.pdf,BOQ Comparative Chart,Technical,Attached,Vivek Sharma,05-Feb-2022 05:10 PM,technical_81859.pdf,1.0,253842.0,DCC BUILDCON PVT. LTD.,27-Jan-2022 09:59 AM,Accepted-AOC,l1,11-May-2022 10:02 AM,EE Hamirpur,Internal,Attached,Vivek Sharma,21-Feb-2022 12:51 PM,finsummary_81859.pdf (755.55 KB),11-May-2022,"INR 167,884,713",770.0,Vivek Sharma,11-May-2022 10:02 AM,GaloreHasmirpurAward.pdf (2069.00 KB),Award,PWD,2021_PWD_54617_1,W/I of Hamirpur Galore road Km. 0/0 to 1/165,Widening and improvement of Hamirpur Galore road Km. 0/0 to 1/165,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,14-Feb-2022 05:28 PM,21-Feb-2022 11:30 AM,techsummary_81859.pdf (3062.22 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,13-Dec-2021 06:00 PM,27-Jan-2022 11:30 AM,13-Dec-2021 06:00 PM,27-Jan-2022 10:30 AM,NA ,NA ,13-Dec-2021 06:00 PM,27-Jan-2022 10:30 AM,21-Feb-2022 11:30 AM,1.0,CorrigendumVII,Date,,"5,000",Nil,Nil,No,Superintending Engineer 8th Circle HPPWD Hamirpur,Superintending Engineer 8th Circle HPPWD Hamirpur,"43,04,000",No,fixed,,Nil,Nil,PWD,W/I of Hamirpur Galore road Km. 0/0 to 1/165,2021_PWD_54617_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Widening and improvement of Hamirpur Galore road Km. 0/0 to 1/165,SH ROFD Cross drainage work Soling tarring and V-shape drain etc Under RIDF-XXVII,Please refer Tender documents. ,NA ,"21,52,06,509",Civil Works - Roads,NA ,Tender,120.0,770.0,Hamirpur,177001.0,NA ,NA ,NA ,SE office 8th Circle Hamirpur,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,2.0,253779.0,MSC Roads and Bridges Private Limited,25-Jan-2022 06:03 PM,Rejected-Finance,l3,21-Feb-2022 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand/work done detail counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,2.0,Corrigendum,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,3.0,258189.0,OM PARKASH SHARMA AND SONS,26-Jan-2022 02:37 PM,Rejected-Finance,l4,21-Feb-2022 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,250390.0,S.S.Chauhans Construction Private Limted,26-Jan-2022 02:02 PM,Rejected-Finance,l2,21-Feb-2022 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,having NOC from State Pollution Control Board.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Financial Turn Over of last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Minimum work done Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,any other condition as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Part II Special Conditions as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
