Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Periodic Renewal of PMGSY ROADS Mangwal to Thatholi road road under AMP for the year 2022-23,Providing and laying 30 mm thick bituminous concrete in km. 1/0 to 2/0,Please refer Tender documents. ,NA ,"14,44,140",Civil Works - Roads,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER,No ,No,18-Mar-2022 09:00 AM,01-Apr-2022 10:00 AM,18-Mar-2022 09:00 AM,01-Apr-2022 09:00 AM,NA ,NA ,18-Mar-2022 09:00 AM,01-Apr-2022 09:00 AM,01-Apr-2022 05:30 PM,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,1.0,ICICI BANK,1.0,DATE EXTENSION,Date,,500.0,Nil,Nil,Yes,PWD,PWI/CB/Tender/2021-9918-48,2022_PWD_58227_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"14,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender document,AOC,PWD,2022_PWD_58227_3,PWI/CB/Tender/2021-9918-48,Periodic Renewal of PMGSY ROADS Mangwal to Thatholi road road under AMP for the year 2022-23,EE,Internal,DAO SUPDT TA HDM,Baldev Singh,01-Apr-2022 05:11 PM,01-Apr-2022 05:30 PM,techsummary_87970.pdf (234.93 KB),EE,Internal,DAO SUPDT AE TA HDM,Baldev Singh,24-May-2022 01:36 PM,finsummary_87970.pdf (97.72 KB),24-May-2022,"INR 1,444,140",60.0,Baldev Singh,24-May-2022 01:40 PM,award.pdf (422.00 KB),AWARDED TO NISCHAL MAHAJAN,1.0,271232.0,Nishchal Mahajan,INR,"1,249,720",Finance,ALL ARE RESPONSIVE,Baldev Singh,24-May-2022 01:34 PM,finance_87970.pdf,BOQ Comparative Chart,1.0,274341.0,M/S CHANAN SINGH AND CO.,01-Apr-2022 07:53 AM,Rejected-AOC,rejected,24-May-2022 01:40 PM,Technical,ALL ARE RESPONSIVE,Baldev Singh,01-Apr-2022 05:09 PM,technical_87970.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271232.0,Nishchal Mahajan,29-Mar-2022 07:49 PM,Accepted-AOC,awarded,24-May-2022 01:40 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,271914.0,rajat thakur govt contractor,31-Mar-2022 01:31 PM,Rejected-AOC,rejected,24-May-2022 01:40 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,274057.0,Sandan Sharma Govt. Contractor,31-Mar-2022 07:45 PM,Rejected-AOC,rejected,24-May-2022 01:40 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,271184.0,V S SAINI,29-Mar-2022 06:03 PM,Rejected-AOC,rejected,24-May-2022 01:40 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
