Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er. J.K. Gupta,Internal,AE Kamand Supdt. HDM Divn. Accountant(P),Jitender Kumar,13-Jul-2022 02:32 PM,finsummary_92828.pdf (398.14 KB),13-Jul-2022,"INR 1,335,492",90.0,Jitender Kumar,13-Jul-2022 03:01 PM,fboevlboundary61512.PDF (398.00 KB),Award letter No. 5589-99,PWD,2022_PWD_61512_1,PW-MDI(P)Tender-NIT- 2748-83 dated 30.05.2022,Construction of warehouse for the storage of EVM and VVPATs at Bhiuli District Mandi (H.P.).,Er. J.K. Gupta,Internal,Supdt. HDM Divn. Accountant(P),Jitender Kumar,01-Jul-2022 03:57 PM,04-Jul-2022 11:00 AM,techsummary_92828.pdf (381.50 KB),Finance,fbosummary,Jitender Kumar,06-Jul-2022 02:49 PM,finance_92828.pdf,BOQ Comparative Chart,1.0,287237.0,Abhishek Gupta,INR,"1,201,942.28",Technical,summary,Jitender Kumar,18-Jun-2022 11:30 AM,technical_92828.pdf,1.0,287237.0,Abhishek Gupta,17-Jun-2022 01:00 AM,Accepted-AOC,AOC,13-Jul-2022 03:01 PM,AOC,500.0,Nil,Nil,No,Construction of warehouse for the storage of EVM and VVPATs at Bhiuli District Mandi (H.P.).,Construction of Boundary wall around the new construction VVPATs building at Bhiuli Mandi (H.P.).,As per bid documents ,NA ,"13,35,492",Civil Works - Buildings,NA ,Tender,90.0,90.0,Mandi,175001.0,NA ,NA ,NA ,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),09-Jun-2022 11:00 AM,17-Jun-2022 11:30 AM,09-Jun-2022 11:00 AM,17-Jun-2022 10:00 AM,NA ,NA ,09-Jun-2022 11:00 AM,17-Jun-2022 10:00 AM,04-Jul-2022 11:00 AM,1.0,ICICI BANK,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,Executive Engineer Mandi Divn.No.I HPPWD at Padhar,PWD,PW-MDI(P)Tender-NIT- 2748-83 dated 30.05.2022,2022_PWD_61512_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"26,700",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287242.0,PANKAJ BEHL,17-Jun-2022 08:42 AM,Rejected-Finance,L-2,13-Jul-2022 02:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certi.(Gen.Rule No.16 and 26.2.b)Mini amount of workdone as per Sched-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"HPPWD Form No.7/8 duly signed (General Rule and directions, Schedules A to F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
