Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Shillai,Executive Engineer HP PWD Division Shillai,18-Aug-2022 06:00 PM,25-Aug-2022 12:30 PM,18-Aug-2022 06:00 PM,24-Aug-2022 05:00 PM,NA ,NA ,18-Aug-2022 06:00 PM,24-Aug-2022 05:00 PM,03-Sep-2022 10:50 AM,1.0,ICICI BANK,"19,350",No,fixed,,Nil,Nil,Construction of link road from Kiarka to Bambrar km. 0/0 to2/225,Construction of link road from Kiarka to Bambrar km. 0/0 to 2/500(SH-Cutting in earth work for improvement of curves and widening narrow reaches including 5/7 mtr. Wide new cutting in km. 0/0 to 2/225),please refer to tender document ,NA ,"9,66,172",Civil Works - Roads,NA ,Rate Contract,90.0,60.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,PWD,TA-8883-8982dt-8-8-2022,2022_PWD_63818_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Finance,financial summary,Pramod Upreti,16-Sep-2022 02:38 PM,finance_96150.pdf,BOQ Comparative Chart,1.0,296842.0,munshi ram,INR,"676,320",1.0,296923.0,CHATTER SINGH,24-Aug-2022 09:07 AM,Rejected-Finance,Not lowest,16-Sep-2022,Technical,technical summary,Pramod Upreti,03-Sep-2022 10:44 AM,technical_96150.pdf,EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,03-Sep-2022 10:46 AM,03-Sep-2022 10:50 AM,techsummary_96150.pdf (1924.59 KB),PWD,2022_PWD_63818_1,TA-8883-8982dt-8-8-2022,Construction of link road from Kiarka to Bambrar km. 0/0 to2/225,20-Sep-2022,"INR 676,320",60.0,Vijay Kumar Aggarwal,18-Jan-2024 04:28 PM,AOCMUNSHI.pdf (474.00 KB),AOC,EE Shillai,Internal,"AE Shillai, HDM, Supdt. TA",Pramod Upreti,16-Sep-2022 02:43 PM,finsummary_96150.pdf (128.65 KB)
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,296623.0,Dalip Singh,24-Aug-2022 12:43 PM,Rejected-Finance,Not lowest,16-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,297094.0,Kuldeep Singh,23-Aug-2022 10:44 AM,Rejected-Finance,Not lowest,16-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration and Permanent account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,297052.0,MITTER SINGH,22-Aug-2022 08:49 PM,Rejected-Finance,Not lowest,16-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,296842.0,munshi ram,22-Aug-2022 11:59 AM,Accepted-AOC,Work Cancelled,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,297103.0,rattan singh,23-Aug-2022 05:33 PM,Rejected-Finance,Not lowest,16-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,296972.0,SOHAN SINGH,22-Aug-2022 03:09 PM,Rejected-Finance,Not lowest,16-Sep-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
