Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"5,900",Nil,Nil,No,13-May-2022 11:00 AM,21-May-2022 11:00 AM,13-May-2022 11:00 AM,20-May-2022 05:00 PM,NA ,NA ,13-May-2022 11:00 AM,20-May-2022 05:00 PM,23-Jun-2022 11:00 AM,HP SIDC Limited,Job No. 14,2022_SIDC_60632_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,52,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla,Construction of HPSIDC Division Office building at Ind. Area Sansarpur Terrace Distt. Kangra (HP).,Construction of HPSIDC Division Office building at Ind. Area Sansarpur Terrace Distt. Kangra (HP).,Please refer Tender documents. ,NA ,"1,20,15,380",Civil Works - Buildings,NA ,Tender,120.0,540.0,Sansarpur Terrace,176501.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,AOC,1.0,283109.0,Arun Kumar,INR,"16,478,798",11-Oct-2022,"INR 16,478,798",540.0,Sushant Singh Negi,17-Oct-2022 01:26 PM,arunkumar.pdf (1504.00 KB),Award letter,HP SIDC Limited,2022_SIDC_60632_1,Job No. 14,Construction of HPSIDC Division Office building at Ind. Area Sansarpur Terrace Distt. Kangra (HP).,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,29-Jun-2022 11:04 AM,finsummary_91553.pdf (30.17 KB),Finance,Financial summary,Sushant Singh Negi,29-Jun-2022 10:59 AM,finance_91553.pdf,BOQ Comparative Chart,1.0,283109.0,Arun Kumar,20-May-2022 04:08 PM,Accepted-AOC,AOC,17-Oct-2022 01:28 PM,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,22-Jun-2022 04:00 PM,23-Jun-2022 11:00 AM,techsummary_91553.pdf (1354.33 KB),Technical,Tender Summary,Sushant Singh Negi,22-Jun-2022 03:56 PM,technical_91553.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,282702.0,M/S Parminder Singh Bagga Govt Contractor,20-May-2022 03:11 PM,Rejected-Finance,Second lowest bidder,29-Jun-2022 11:04 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,282700.0,Sanjay Kumar,20-May-2022 07:25 AM,Rejected-Technical,The successfully completed similar type of work done in last five years has not submitted as per tender condition.,22-Jun-2022 04:00 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,282423.0,sourav mahajan,20-May-2022 07:45 AM,Rejected-Finance,Third lowest bidder,29-Jun-2022 11:04 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
