Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
350.0,Nil,Nil,No,"6,000",No,fixed,,Nil,Nil,Executive Engineer,HPPWD Division Dehra,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,20-Dec-2021 10:00 AM,28-Dec-2021 11:00 AM,20-Dec-2021 10:00 AM,27-Dec-2021 06:00 PM,20-Dec-2021 10:00 AM ,24-Dec-2021 05:00 PM ,20-Dec-2021 10:00 AM,27-Dec-2021 06:00 PM,07-Jan-2022 11:00 AM,1.0,ICICI BANK,PWD,EE Dehra letter No.8119-23 dated 02.12.2021,2021_PWD_54776_9,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/O on Link road to Kullar in Km. 0/0 to 1/300,P/L cement concrete pavement at RD 0/090 to 0/140 and 0/420 to 0/485,Please refer to tender documents ,NA ,,Civil Works,CC pavement ,Tender,75.0,30.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,AOC,EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,06-Jan-2022 04:51 PM,07-Jan-2022 11:00 AM,techsummary_82200.pdf (301.81 KB),PWD,2021_PWD_54776_9,EE Dehra letter No.8119-23 dated 02.12.2021,A/R and M/O on Link road to Kullar in Km. 0/0 to 1/300,09-Nov-2022,"INR 293,503",30.0,Dinesh Kumar Dhiman,09-Nov-2022 12:46 PM,54776_9Award.pdf (693.00 KB),Work awarded issued,EE Dehra,Internal,AE to EE Dehra DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,06-Feb-2022 01:58 PM,finsummary_82200.pdf (176.37 KB),1.0,252416.0,Govt Contractor,27-Dec-2021 02:32 PM,Rejected-Finance,Highest bidder,06-Feb-2022 01:58 PM,Technical,Technical bid opening summary,Dinesh Kumar Dhiman,06-Jan-2022 04:31 PM,technical_82200.pdf,1.0,252139.0,Govt Contractor,INR,"333,126",Finance,Financial bid opening summary,Dinesh Kumar Dhiman,06-Feb-2022 01:20 PM,finance_82200.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,252139.0,Govt Contractor,27-Dec-2021 11:46 AM,Accepted-AOC,L1,09-Nov-2022 12:47 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,251884.0,SHUBHAM THAKUR,27-Dec-2021 04:09 PM,Rejected-Finance,Highest bidder,06-Feb-2022 01:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,252095.0,VISHAL DHIMAN GOVT CONTRACTOR,27-Dec-2021 11:27 AM,Rejected-Finance,Highest bidder,06-Feb-2022 01:58 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
