Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,1.0,Corrigendum-2,Date,,EESHIMLADIVISIONNOIII,EESHIMLADIVISIONNOIII,17-Aug-2022 09:00 AM,27-Aug-2022 11:00 AM,17-Aug-2022 09:00 AM,26-Aug-2022 06:00 PM,NA ,NA ,17-Aug-2022 09:00 AM,26-Aug-2022 06:00 PM,29-Aug-2022 05:05 PM,"2,000",Nil,Nil,No,1.0,ICICI BANK,"Renovation/rehabilitation of various building under IGMC Shimla (SH- replacement of roofing of Ortho OPD, Block D porch, renovation of waiting area and Ortho OPD etc","Renovation/rehabilitation of various building under IGMC Shimla (SH- replacement of roofing of Ortho OPD, Block D porch, renovation of waiting area and Ortho OPD etc",As per SBD ,NA ,"48,70,544",Civil Works - Buildings,NA ,Tender,75.0,60.0,IGMC,171001.0,NA ,NA ,NA ,EESHIMLADIVISIONNOIII,No ,No,"99,100",No,fixed,,Nil,Nil,PWD,SD-III-Tender-13511-30dt. 6-8-2022,2022_PWD_63752_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,297524.0,ASHOK KUMAR,INR,"5,071,501.35",Finance,Bid Opening Summary,Bhupender Singh,29-Aug-2022 05:13 PM,finance_96064.pdf,BOQ Comparative Chart,1.0,297524.0,ASHOK KUMAR,26-Aug-2022 12:12 PM,Accepted-AOC,L1,16-Nov-2022 12:38 PM,Technical,Bid Opening Summary,Parveen Kumar Verma,29-Aug-2022 04:55 PM,technical_96064.pdf,PWD,2022_PWD_63752_2,SD-III-Tender-13511-30dt. 6-8-2022,"Renovation/rehabilitation of various building under IGMC Shimla (SH- replacement of roofing of Ortho OPD, Block D porch, renovation of waiting area and Ortho OPD etc",P.K. Verma E.E.,Internal,"R.S. Thakur Supdt, Padam Sharma HDM,Deepak Sharma Sr. DAO",Parveen Kumar Verma,29-Aug-2022 05:03 PM,29-Aug-2022 05:05 PM,techsummary_96064.pdf (396.40 KB),P.K. Verma E.E.,Internal,"RS Thakur Supdt, Padam Sharma HDA, Deepak Sharma Sr. DAO",Parveen Kumar Verma,31-Aug-2022 11:45 AM,finsummary_96064.pdf (256.99 KB),13-Oct-2022,"INR 4,928,131",60.0,Parveen Kumar Verma,16-Nov-2022 12:37 PM,bhai.pdf (1464.00 KB),AWARD OF CONTRACT,AOC
,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,297637.0,RAMESH VIJ,26-Aug-2022 04:05 PM,Rejected-Technical,"Requsite documents are not attached with the case, hence rejected",29-Aug-2022 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,296969.0,SHEEL CONSTRUCTION AND ENTERPRISES,22-Aug-2022 03:16 PM,Rejected-Technical,"Requsite documents are not attached with the case, hence rejected",29-Aug-2022 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,297539.0,VIKAS GAUTAM,26-Aug-2022 12:30 PM,Rejected-Finance,L2,31-Aug-2022 11:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
