S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,corrigendum of boq,Other,,PWD,RESTORATION OF RAIN DAMAGES ON VARIOUS ROAD UNDER,2022_PWD_64507_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,RESTORATION OF RAIN DAMAGES ON VARIOUS ROAD UNDER BARSAR SUB DIVIS,REPAIR OF POT HOLES ON VARIOUS ROAD AT VARIOUS RDS).,Please refer Tender documents. ,NA ,"6,26,695",Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,350.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,07-Sep-2022 10:30 AM,14-Sep-2022 11:30 AM,07-Sep-2022 10:30 AM,14-Sep-2022 10:30 AM,NA ,NA ,07-Sep-2022 10:30 AM,14-Sep-2022 10:30 AM,20-Sep-2022 03:30 PM,"12,600",No,fixed,,Nil,Nil,AOC,PWD,2022_PWD_64507_1,RESTORATION OF RAIN DAMAGES ON VARIOUS ROAD UNDER,RESTORATION OF RAIN DAMAGES ON VARIOUS ROAD UNDER BARSAR SUB DIVIS,Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Dev Raj,20-Sep-2022 12:57 PM,20-Sep-2022 03:30 PM,techsummary_97087.pdf (856.63 KB),Executive Engineer,Internal,"TENDER ASSISTANT, SUPDT, HDM, DAO",Dev Raj,26-Sep-2022 04:34 PM,finsummary_97087.pdf (326.97 KB),13-Dec-2022,"INR 513,890",60.0,Dev Raj,13-Dec-2022 12:54 PM,A.O.C.pdf (1091.00 KB),Award Letter,Finance,FIN BID SUMMARY,Dev Raj,26-Sep-2022 04:28 PM,finance_97087.pdf,BOQ Comparative Chart,1.0,300814.0,geeta devi,INR,"513,889.74",1.0,301034.0,BRAHAM DASS SHARMA,14-Sep-2022 09:21 AM,Rejected-Finance,L1L2L3L4,26-Sep-2022 04:34 PM,Technical,Bid Open Summary,Dev Raj,20-Sep-2022 12:55 PM,technical_97087.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300814.0,geeta devi,13-Sep-2022 04:09 PM,Accepted-AOC,L1,13-Dec-2022 12:54 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,300957.0,Sanjeev Kumar,13-Sep-2022 06:15 PM,Rejected-Finance,L1L2L3L4,26-Sep-2022 04:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,300978.0,SHIVANI SHARMMA,14-Sep-2022 09:20 AM,Rejected-Finance,L1L2L3L4,26-Sep-2022 04:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary.,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.00 Lakhs or more,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
