EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"26,300",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,Change of opening date of tender,Date,,PWD,Job 8 Periodical Maintenance on link road from San,2023_PWD_67840_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,01-Feb-2023 09:20 AM,14-Feb-2023 11:00 AM,01-Feb-2023 09:20 AM,13-Feb-2023 05:20 PM,NA ,NA ,01-Feb-2023 09:20 AM,13-Feb-2023 05:20 PM,17-Feb-2023 10:00 AM,1.0,ICICI BANK,"Job 8 Periodical Maintenance on link road from Sanoli to Melwan Tehsil Una Distt. Una km 0-0 to 1-0 VR145, Link road to Kanya Maha vidyala at Lalsingi Tehsil Una Distt. Una Km. 0-0 to 0-050 VR112 SubHead Patch work, 30mm thick BC, Zebra crossing an","Job 8 Periodical Maintenance on link road from Sanoli to Melwan Tehsil Una Distt. Una km 0-0 to 1-0 VR145, Link road to Kanya Maha vidyala at Lalsingi Tehsil Una Distt. Una Km. 0-0 to 0-050 VR112 SubHead Patch work, 30mm thick BC, Zebra crossing an",Please refer to Bidding Documents ,NA ,"13,11,339",Civil Works - Roads,NA ,Tender,75.0,30.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,Er. Dev Raj EE Una,Internal,"Er. Kuldeep Singh AE to EE Amit Singh DAO Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,16-Feb-2023 01:36 PM,17-Feb-2023 10:00 AM,techsummary_102184.pdf (148.80 KB),PWD,2023_PWD_67840_1,Job 8 Periodical Maintenance on link road from San,"Job 8 Periodical Maintenance on link road from Sanoli to Melwan Tehsil Una Distt. Una km 0-0 to 1-0 VR145, Link road to Kanya Maha vidyala at Lalsingi Tehsil Una Distt. Una Km. 0-0 to 0-050 VR112 SubHead Patch work, 30mm thick BC, Zebra crossing an",22-Mar-2023,"INR 1,311,339",30.0,Baldev Singh,22-Aug-2023 05:27 PM,Awardletter.pdf (833.00 KB),Awardletter,Er. Dev Raj EE,Internal,"Er. Kuldeep Singh AE to EE Amit Singh DAO Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Arvind Chaudhary,20-Feb-2023 05:14 PM,finsummary_102184.pdf (450.20 KB),Finance,Proceedingregardingopeningoffinancialbids,Arvind Chaudhary,20-Feb-2023 04:23 PM,finance_102184.pdf,BOQ Comparative Chart,1.0,322122.0,B T Construction Company,INR,"137,035",1.0,322122.0,B T Construction Company,13-Feb-2023 01:10 PM,Accepted-AOC,ok,22-Aug-2023,Technical,TechnicalBidOpeningSummary,Arvind Chaudhary,16-Feb-2023 01:16 PM,technical_102184.pdf
,,,,,,,,,,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321684.0,Shivalik Construction Company,13-Feb-2023 11:45 AM,Rejected-Finance,Not L-1,20-Feb-2023,,,,,
,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
