Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
Executive Engineer,HPPWD Division Kangra,500.0,Nil,Nil,No,28-Jan-2023 09:00 AM,06-Feb-2023 11:30 AM,28-Jan-2023 09:00 AM,06-Feb-2023 11:00 AM,NA ,NA ,28-Jan-2023 03:00 PM,06-Feb-2023 11:00 AM,21-Feb-2023 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),"25,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural road Ghalian to Chhoti Behi (HP0406VR094) km.0/0 to 1/0,(SH - P/L 30mm thick bituminous concrete in km.0/0 to 1/0,Please refer Tender documents. ,NA ,"12,69,923",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,PWD,10036-85 dt.23.1.2023,2023_PWD_67630_15,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Finance,Summary,Sushil Kumar Dhadwal,24-Apr-2023 04:26 PM,finance_101912.pdf,BOQ Comparative Chart,Er. Sushil Kumar Dhadwal,Internal,"Superintendent (Gr-II) (Estt.) HPPWD, Kangra Superintendent (Gr-II) (Accounts) HPPWD, Kangra, HDM, HPPWD, Divn., Kangra",Sushil Kumar Dhadwal,20-Feb-2023 01:47 PM,21-Feb-2023 10:00 AM,techsummary_101912.pdf (387.09 KB),Technical,Summary,Sushil Kumar Dhadwal,20-Feb-2023 01:47 PM,technical_101912.pdf,1.0,320147.0,36jk builders and contractors,05-Feb-2023 02:07 PM,Rejected-Finance,rate higher side,24-Apr-2023,24-Apr-2023,"INR 1,269,923",30.0,Sushil Kumar Dhadwal,24-Apr-2023 04:31 PM,AOC.pdf (1286.00 KB),Award,1.0,319801.0,garg,INR,"1,328,292",Er. Sushil Kumar Dhadwal,Internal,"DAO (Gr-I), HPPWD, Divn., Kangra, Divisional Head Draughtsman, HPPWD, Kangra, Superintendent (Gr-II) (Estt.) HPPWD, Kangra",Sushil Kumar Dhadwal,24-Apr-2023 04:29 PM,finsummary_101912.pdf (368.35 KB),PWD,2023_PWD_67630_15,10036-85 dt.23.1.2023,Annual Maintenance Plan (AMP) of Lunj Sub Division for the year 2023-24 Rural road Ghalian to Chhoti Behi (HP0406VR094) km.0/0 to 1/0
,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,319801.0,garg,05-Feb-2023 08:09 PM,Accepted-AOC,Award,24-Apr-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,HPPWD Form No-8 (Shown in General Rule and Direction 26(26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding HMP (Batch type Hot Mix Plant) should be installed within 25 kms from location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
