S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,ICICI BANK,04-Apr-2023 05:00 PM,13-Apr-2023 11:30 AM,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 05:00 PM,12-Apr-2023 05:00 PM,18-Apr-2023 03:20 PM,"2,000",Nil,Nil,No,Executive Engineer,Executive Engineer Thalout Division HPPWD Thalout,"1,09,000",No,fixed,,Nil,Nil,Balance work of Construction of G.S.S.S. Building at Bandal Tehsil Balichowki Distt. Mandi HP SH-Construction of Four rooms with stair in ground floor.,Balance work of Construction of G.S.S.S. Building at Bandal Tehsil Balichowki Distt. Mandi HP SH-Construction of Four rooms with stair in ground floor.,Please refer Tender documents. ,NA ,"54,30,579",Civil Works,NA ,Tender,120.0,180.0,Bandal,175124.0,NA ,NA ,NA ,Executive Engineer Thalout Division HPPWD Thalout,No ,No,PWD,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,2023_PWD_71859_6,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender as per Tender Document,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Er. S.K. Dhiman EE,Internal,Sh. Keshav Ram Supdtt 2. Sh. Jagdish Thakur DHD 3. Sh. Amit Naggar DAO 4. Sh. Ajay Sood AE,Suresh Kumar Dhiman,18-Apr-2023 03:16 PM,18-Apr-2023 03:20 PM,techsummary_108128.pdf (229.39 KB),PWD,2023_PWD_71859_6,PW/TLD/AB/Tender/2022- 33888-908 dt. 28.03.2023,Balance work of Construction of G.S.S.S. Building at Bandal Tehsil Balichowki Distt. Mandi HP SH-Construction of Four rooms with stair in ground floor.,06-May-2023,"INR 4,888,063",180.0,Suresh Kumar Dhiman,30-May-2023 01:29 PM,AOCBandal.pdf (257.00 KB),Detail attached,Er. S.K. Dhiman EE,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Thakur DHD 3. Er. Ajay Sood AE,Suresh Kumar Dhiman,25-Apr-2023 03:28 PM,finsummary_108128.pdf (355.86 KB),Finance,Detail attached.,Suresh Kumar Dhiman,25-Apr-2023 03:18 PM,finance_108128.pdf,BOQ Comparative Chart,1.0,341315.0,LABH CHAND,INR,"4,888,063",1.0,341686.0,Balwant SIngh Thakur,11-Apr-2023 08:42 PM,Rejected-Finance,L5,25-Apr-2023,Technical,Summary attached,Suresh Kumar Dhiman,18-Apr-2023 03:05 PM,technical_108128.pdf
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per Tender Document,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,340825.0,Dinesh kumar,09-Apr-2023 01:24 PM,Rejected-Finance,L2,25-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,341315.0,LABH CHAND,11-Apr-2023 11:56 AM,Accepted-AOC,L1,30-May-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,341506.0,NARENDER BALI,11-Apr-2023 10:59 AM,Rejected-Finance,L3,25-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,341538.0,SHIVAM,12-Apr-2023 02:28 PM,Rejected-Finance,L4,25-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted and Non-Gazetted HPPWD Employees Related to Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents as Specified by The State in Proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished with The Bid Is Correct in All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
