Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
14-Apr-2023 05:00 PM,21-Apr-2023 11:30 AM,14-Apr-2023 05:00 PM,21-Apr-2023 10:00 AM,NA ,NA ,14-Apr-2023 05:00 PM,21-Apr-2023 10:00 AM,06-May-2023 11:30 AM,Executive Engineer,Elect. Division HPPWD Palampur,PWD,Elect. Division HPPWD Palampur,2023_PWD_72248_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"35,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,500.0,Nil,Nil,No,"C/O Art Gallery and Museum at Dharamshala, Distt. Kangra, HP (SH- Providing Fire Alarm and Fire Fighting system therein)","C/O Art Gallery and Museum at Dharamshala, Distt. Kangra, HP (SH- Providing Fire Alarm and Fire Fighting system therein)",Please refer Tender documents. ,NA ,"18,29,225",Electrical Works,NA ,Tender,120.0,180.0,Dharamshala in Distt. Kangra,176215.0,NA ,NA ,NA ,Palampur,No ,No,1.0,ICICI BANK,PWD,2023_PWD_72248_1,Elect. Division HPPWD Palampur,"C/O Art Gallery and Museum at Dharamshala, Distt. Kangra, HP (SH- Providing Fire Alarm and Fire Fighting system therein)",Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Dinesh Kumar Supdt. Sh. Sanjay Awasthi DAO Sh. Atul Nag Draughtsman,Dalip singh Patial,28-Apr-2023 01:29 PM,06-May-2023 11:30 AM,techsummary_108722.pdf (341.08 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,16-May-2023 12:13 PM,finsummary_108722.pdf (22.35 KB),09-Jul-2023,"INR 1,829,225",180.0,Dalip singh Patial,09-Jul-2023 04:19 PM,72248_1.pdf (922.00 KB),as per uploaded document,Finance,as per uploaded document,Dalip singh Patial,16-May-2023 12:10 PM,finance_108722.pdf,BOQ Comparative Chart,1.0,342323.0,Sudha Kumari,INR,"1,809,865",1.0,342324.0,Daksh Enterprises,20-Apr-2023 10:59 PM,Rejected-Technical,Technically Not Qualified,28-Apr-2023,Technical,as per uploaded document,Dalip singh Patial,28-Apr-2023 01:14 PM,technical_108722.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,343267.0,Fire Guard Engineers,20-Apr-2023 10:23 PM,Rejected-Technical,Technically Not Qualified,28-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,343173.0,Insat Techno Services,20-Apr-2023 07:15 PM,Rejected-Finance,L2,16-May-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,343168.0,Soni Supplier OPC Private Limited,20-Apr-2023 02:15 PM,Rejected-Technical,Technically Not Qualified,28-Apr-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,342323.0,Sudha Kumari,20-Apr-2023 10:33 PM,Accepted-AOC,L1,09-Jul-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of work done certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 of GCC duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
