Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bank Name
EE ROSHAN LAL ATRI,Internal,"Supdt-II, HDM DAO",Roshan Lal Atri,19-Jan-2022 04:54 PM,finsummary_77066.pdf (449.45 KB),15-Sep-2023,"INR 58,876,651",730.0,Vishawjeet Sharma,15-Sep-2023 01:03 PM,BUILDING.pdf (1427.00 KB),AOC,PWD,2021_PWD_51576_1,PWF/CB/IIC/TENDER/21/9790-9829 Dt 12-08-21,Construction of Combined office building at Fatehpur in Tehsil Fatehpur Distt. Kangra (H.P.),EE,Internal,Supdt HDM DAO,Roshan Lal Atri,22-Sep-2021 12:45 PM,22-Sep-2021 04:00 PM,techsummary_77066.pdf (113.07 KB),Finance,EVALUATION,Roshan Lal Atri,19-Jan-2022 04:50 PM,finance_77066.pdf,BOQ Comparative Chart,1.0,232379.0,MM Envro Engineers,INR,"58,876,651",Technical,Summary,Roshan Lal Atri,22-Sep-2021 12:40 PM,technical_77066.pdf,1.0,233384.0,ANIL MAHAJAN,01-Sep-2021 05:12 PM,Rejected-Finance,Due to Highest Amount,19-Jan-2022,EXECUTIVE ENGINEER,EXECUTIVE ENGINEER HPPWD DIVISION FATEHPUR,PWD,PWF/CB/IIC/TENDER/21/9790-9829 Dt 12-08-21,2021_PWD_51576_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Combined office building at Fatehpur in Tehsil Fatehpur Distt. Kangra (H.P.),"C/o of Building Portion, Water Supply and Sanitary Installation,Rain harversting system,Septic tank,Site development, providing and laying cobble stone paver in parking,Exit approach road, Construction of boundary wall and installation of Lift",Please refer Tender documents. ,NA ,"4,63,63,908",Civil Works,NA ,Tender,90.0,730.0,FATEHPUR,176053.0,NA ,NA ,NA ,HPPWD DIVISION FATEHPUR,No ,No,25-Aug-2021 11:00 AM,03-Sep-2021 11:00 AM,25-Aug-2021 11:00 AM,02-Sep-2021 05:00 PM,NA ,NA ,25-Aug-2021 11:00 AM,02-Sep-2021 05:00 PM,22-Sep-2021 04:00 PM,"9,27,300",No,fixed,,Nil,Nil,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,e-Challan Cost of tender and Earnest of Money,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,232379.0,MM Envro Engineers,02-Sep-2021 01:14 PM,Accepted-AOC,AOC,15-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233527.0,Nishchal Mahajan,02-Sep-2021 10:58 AM,Rejected-Finance,Due to Highest Amount,19-Jan-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST, PAN and Latest ITR, EPF",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,233314.0,RAKESH RANA,02-Sep-2021 01:28 PM,Rejected-Finance,Due to Highest Amount,19-Jan-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate last five financial years from CA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, one similar nature work not less than forty percent amount put to tender last five years",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Technical staff,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail regarding arbitration litigation cases for the last five years,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the information furnished with BID documents are true and correct,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and upload,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in the Bid Data Sheet,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,
