Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
"2,000",Nil,Nil,Yes,PWD,MDII,2023_PWD_77176_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F), Earnest money",04-Aug-2023 06:00 PM,14-Aug-2023 11:30 AM,04-Aug-2023 06:00 PM,14-Aug-2023 11:00 AM,NA ,NA ,04-Aug-2023 06:00 PM,14-Aug-2023 11:00 AM,29-Aug-2023 11:00 AM,"1,60,400",Yes,fixed,,Nil,Nil,Construction of link road to ITI Kotli Tehsil Kotli Distt. Mandi H.P.,C/O approach road thereof.,Please refer Tender documents. ,NA ,"80,18,074",Civil Works,NA ,Tender,75.0,365.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,1.0,365862.0,Balwant SIngh Thakur,13-Aug-2023 12:31 PM,Rejected-Finance,L7,30-Aug-2023,Technical,Summary,Suresh Kaushal,18-Aug-2023 12:44 PM,,1.0,365841.0,Nikhil Thakur,INR,"4,939,134",Finance,Summary,Suresh Kaushal,30-Aug-2023 04:46 PM,,BOQ Comparative Chart,PWD,2023_PWD_77176_1,MDII,Construction of link road to ITI Kotli Tehsil Kotli Distt. Mandi H.P.,ER S.K. KAUSHAL,Internal,,Suresh Kaushal,28-Aug-2023 05:04 PM,29-Aug-2023 11:00 AM,techsummary_115313.pdf (654.73 KB),ER S.K. KAUSHAL,Internal,,Suresh Kaushal,30-Aug-2023 05:41 PM,finsummary_115313.pdf (189.17 KB),30-Sep-2023,"INR 4,939,134",365.0,Suresh Kaushal,30-Sep-2023 12:22 PM,AWARD.pdf (942.00 KB)
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,366067.0,MNBN Enterprises,14-Aug-2023 10:33 AM,Rejected-Technical,NON Responsive,28-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN Card ,GST(General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,365841.0,Nikhil Thakur,11-Aug-2023 05:57 PM,Accepted-AOC,L1,30-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,365317.0,PARMA NAND,14-Aug-2023 09:15 AM,Rejected-Finance,L2,30-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,365608.0,PRAKASH CHANDEL,11-Aug-2023 05:43 PM,Rejected-Finance,L8,30-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,365058.0,RAVIKANT,14-Aug-2023 10:39 AM,Rejected-Finance,L4,30-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,365648.0,SOHAN LAL,13-Aug-2023 07:52 PM,Rejected-Finance,L6,30-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,365694.0,Sumeet Thakur,11-Aug-2023 07:09 PM,Rejected-Finance,L3,30-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,366048.0,Vishwas Rathore,14-Aug-2023 08:53 AM,Rejected-Finance,L5,30-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover certificates from CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
