S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address
1.0,371568.0,SANDEEP DOGRA GOVT. CONTRACTOR,INR,"1,060,698",Finance,summary uploaded,Vinod Shyam,25-Sep-2023 12:58 PM,finance_117028.pdf,BOQ Comparative Chart,Technical,Summary Uploaded,Vinod Shyam,16-Sep-2023 02:31 PM,technical_117028.pdf,1.0,371568.0,SANDEEP DOGRA GOVT. CONTRACTOR,12-Sep-2023 02:27 PM,Accepted-AOC,Lowest bidder to awarded the work,12-Oct-2023,12-Oct-2023,"INR 1,026,718",45.0,Vinod Shyam,12-Oct-2023 02:17 PM,3.pdf (668.00 KB),Executive Engineer,Internal,"XEN, AE, Supdt. Gr-II, HDM",Vinod Shyam,25-Sep-2023 01:00 PM,finsummary_117028.pdf (185.97 KB),Executive Engineer,Internal,"XEN, AE, SUPDT. HDM",Vinod Shyam,16-Sep-2023 02:32 PM,16-Sep-2023 02:35 PM,techsummary_117028.pdf (8509.50 KB),PWD,2023_PWD_78468_4,PW-KD-E-Tender/2023-24-2870-74 dtd 02-09-2023,"R/R Damages on Gowach Vikasnagar road in K.m. 0/00 to 4/00 C/o, B/Wall at R.D. 0/140 to 0/160, 1/210 to 1/222, 1/735 to 1/745 and R/Wall at R.D. 1/210 to 1/217.50, 1/735 to 1/745","20,600",No,fixed,,Nil,Nil,PWD,PW-KD-E-Tender/2023-24-2870-74 dtd 02-09-2023,2023_PWD_78468_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"R/R Damages on Gowach Vikasnagar road in K.m. 0/00 to 4/00 C/o, B/Wall at R.D. 0/140 to 0/160, 1/210 to 1/222, 1/735 to 1/745 and R/Wall at R.D. 1/210 to 1/217.50, 1/735 to 1/745","R/R Damages on Gowach Vikasnagar road in K.m. 0/00 to 4/00 C/o, B/Wall at R.D. 0/140 to 0/160, 1/210 to 1/222, 1/735 to 1/745 and R/Wall at R.D. 1/210 to 1/217.50, 1/735 to 1/745",Please refer Tender documents. ,NA ,"10,26,717",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,06-Sep-2023 11:00 AM,13-Sep-2023 11:00 AM,06-Sep-2023 11:00 AM,12-Sep-2023 06:00 PM,NA ,NA ,06-Sep-2023 11:00 AM,12-Sep-2023 06:00 PM,16-Sep-2023 02:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Executive Engineer,HPPWD DIVISION KOTKHAI
,,,,,,,,,,,,,,,,2.0,371592.0,SURENDER MOHAN,12-Sep-2023 03:15 PM,Rejected-Finance,L2 BIDDER,25-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,
