Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),Executive Engineer,HPPWD DIVISION KOTKHAI,1.0,ICICI BANK,"R/R Damages on GPB road in K.M. 0/00 to 28/545, Removal of slips at various RDs between in K.M. 12/00 to 14/00 and C/o, B/Wall in PCC and wire crate at R.D. 12/015 to 12/050, 12/400 to 12/480, 12/600 to 12/625, 12/660 to 12/710, 12/820 to 12/860","Removal of slips at various RDs between in K.M. 12/00 to 14/00 and C/o, B/Wall in PCC and wire crate at R.D. 12/015 to 12/050, 12/400 to 12/480, 12/600 to 12/625, 12/660 to 12/710, 12/820 to 12/860, 13/045 to 13/075 and 13/830 to 13/845",Please refer Tender documents. ,NA ,"57,49,510",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,"1,15,000",No,fixed,,Nil,Nil,PWD,PW-KD-E-Tender/2023-24-2865-69 dtd 2-9-2023,2023_PWD_78582_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,08-Sep-2023 11:00 AM,14-Sep-2023 11:00 AM,08-Sep-2023 11:00 AM,13-Sep-2023 06:00 PM,NA ,NA ,08-Sep-2023 11:00 AM,13-Sep-2023 06:00 PM,20-Sep-2023 11:10 AM,"2,000",Nil,Nil,No,Executive Engineer,Internal,"XEN, AE Supdt. HDM",Vinod Shyam,20-Sep-2023 11:05 AM,20-Sep-2023 11:10 AM,techsummary_117181.pdf (2068.35 KB),PWD,2023_PWD_78582_1,PW-KD-E-Tender/2023-24-2865-69 dtd 2-9-2023,"R/R Damages on GPB road in K.M. 0/00 to 28/545, Removal of slips at various RDs between in K.M. 12/00 to 14/00 and C/o, B/Wall in PCC and wire crate at R.D. 12/015 to 12/050, 12/400 to 12/480, 12/600 to 12/625, 12/660 to 12/710, 12/820 to 12/860",17-Nov-2023,"INR 5,749,510",45.0,Vinod Shyam,17-Nov-2023 05:11 PM,1.pdf (825.00 KB),Executive Engineer,Internal,"XEN, AE, SUPDT. GR-II, HDM",Vinod Shyam,22-Sep-2023 12:39 PM,finsummary_117181.pdf (186.98 KB),1.0,371411.0,Anil Chauhan,11-Sep-2023 04:57 PM,Rejected-Finance,L2 BIDDER,22-Sep-2023,Technical,summary updated,Vinod Shyam,20-Sep-2023 11:04 AM,technical_117181.pdf,Finance,summary uploaded,Vinod Shyam,22-Sep-2023 12:36 PM,finance_117181.pdf,BOQ Comparative Chart,1.0,371420.0,Hari Bhushan,INR,"5,870,319"
,,.pdf,The Earnest Money (Indicated In Schedule F),,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,371420.0,Hari Bhushan,11-Sep-2023 05:23 PM,Accepted-AOC,Lowest bidder to awarded the work,17-Nov-2023,,,,,,,,,,,,,,,,
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
