Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description
Technical,BOS,Jeet Singh Thakur,07-Feb-2023 03:23 PM,technical_101804.pdf,1.0,319648.0,M/S SAHAB SINGH THAKUR ENGINEERS & CONTRACTORS,04-Feb-2023 03:17 PM,Rejected-Finance,being a 2nd lowest,20-Feb-2023,Finance,Bid opening Summary,Jeet Singh Thakur,15-Feb-2023 12:37 PM,,BOQ Comparative Chart,1.0,319912.0,Surinder Pal Dhall,INR,"9,115,352",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,20-Feb-2023 07:30 PM,finsummary_101804.pdf (225.67 KB),16-Jan-2024,"INR 9,530,030",60.0,Rajeev Kumar,16-Jan-2024 03:40 PM,17871.pdf (945.00 KB),Annual Maintenance on Suri Kaila road Km. 9/540 to 15/540 for the year 2023-24 (SH P/L Bitumenous concrete),PWD,2023_PWD_67579_2,No.PWC-WA-II- 16447-546 dated 20.01.2023,Annual Maintenance on Suri Kaila road Km. 9/540 to 15/540 for the year 2023-24 (SH P/L Bitumenous concrete),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,10-Feb-2023 06:56 PM,14-Feb-2023 11:30 AM,techsummary_101804.pdf (647.91 KB),1.0,ICICI BANK,PWD,No.PWC-WA-II- 16447-546 dated 20.01.2023,2023_PWD_67579_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,27-Jan-2023 10:00 AM,07-Feb-2023 11:30 AM,27-Jan-2023 10:00 AM,06-Feb-2023 05:00 PM,NA ,NA ,27-Jan-2023 10:00 AM,06-Feb-2023 05:00 PM,14-Feb-2023 11:30 AM,Annual Maintenance on Suri Kaila road Km. 9/540 to 15/540 for the year 2023-24 (SH P/L Bitumenous concrete),Annual Maintenance on Suri Kaila road Km. 9/540 to 15/540 for the year 2023-24 (SH P/L Bitumenous concrete),Please refer Tender documents. ,NA ,"95,30,030",Civil Works,NA ,Tender,90.0,60.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,"2,000",Nil,Nil,No,"1,90,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment
,,,,,2.0,319912.0,Surinder Pal Dhall,04-Feb-2023 02:44 PM,Accepted-AOC,Work completed by the contractor and Earnest Money /FDR of the contractor may kindly be released,03-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid )
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid is correct in all respect.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Own Mini Hot Mix Plant, Paver Finisher and road Roller documentary proof for the same"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,One similar work of forty percent of the estimated value of work (without L.D.)in last five year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
