Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
04-Nov-2023 11:00 AM,10-Nov-2023 11:00 AM,04-Nov-2023 11:00 AM,09-Nov-2023 06:00 PM,NA ,NA ,04-Nov-2023 11:00 AM,09-Nov-2023 06:00 PM,29-Nov-2023 05:30 PM,PWD,PW-KD-E-Tender/2023-24-4729-33 dtd 26-10-2023,2023_PWD_80935_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"32,900",No,fixed,,Nil,Nil,"R/R Damages on Galeha Govindpur road in K.M. 0/00 to 11/00, C/o, R/wall at R.D. 7/360 to 7/378, 7/780 to 78/791, 7/930 to 7/948 and 10/715 to 10/721","R/R Damages on Galeha Govindpur road in K.M. 0/00 to 11/00, C/o, R/wall at R.D. 7/360 to 7/378, 7/780 to 78/791, 7/930 to 7/948 and 10/715 to 10/721",Please refer Tender documents. ,NA ,"16,43,799",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Executive Engineer,HPPWD DIVISION KOTKHAI,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,2023_PWD_80935_4,PW-KD-E-Tender/2023-24-4729-33 dtd 26-10-2023,"R/R Damages on Galeha Govindpur road in K.M. 0/00 to 11/00, C/o, R/wall at R.D. 7/360 to 7/378, 7/780 to 78/791, 7/930 to 7/948 and 10/715 to 10/721",Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,29-Nov-2023 05:26 PM,29-Nov-2023 05:30 PM,techsummary_120488.pdf (2845.83 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,04-Dec-2023 01:10 PM,finsummary_120488.pdf (191.47 KB),17-Jan-2024,"INR 1,643,799",45.0,Vinod Shyam,17-Jan-2024 02:16 PM,12.pdf (749.00 KB),Finance,Summary Uploaded,Akhil Chauhan,04-Dec-2023 01:08 PM,finance_120488.pdf,BOQ Comparative Chart,1.0,382961.0,SUNIL GANGTA,INR,"1,711,272",1.0,382972.0,AATISH KAPRATE,07-Nov-2023 02:44 PM,Rejected-Finance,L2 BIDDER,04-Dec-2023,Technical,summary,Akhil Chauhan,29-Nov-2023 05:23 PM,technical_120488.pdf
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382961.0,SUNIL GANGTA,07-Nov-2023 02:46 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,30-Jan-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
