EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"16,700",No,fixed,,Nil,Nil,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,17-Nov-2023 09:00 AM,23-Nov-2023 11:00 AM,17-Nov-2023 09:00 AM,23-Nov-2023 10:30 AM,NA ,NA ,17-Nov-2023 09:00 AM,23-Nov-2023 10:30 AM,04-Dec-2023 01:30 PM,350.0,Nil,Nil,No,PWD,Repair and maintenance of Govt Industrial Training,2023_PWD_81499_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Repair and maintenance of Govt Industrial Training Institute Building at Hamirpur HP,"SH Providing painting distempering tiles, wooden work etc to Govt ITI Building Job 1",Please refer Tender documents. ,NA ,"8,33,293",Civil Works - Buildings,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,PWD,2023_PWD_81499_1,Repair and maintenance of Govt Industrial Training,Repair and maintenance of Govt Industrial Training Institute Building at Hamirpur HP,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,02-Dec-2023 06:43 PM,04-Dec-2023 01:30 PM,techsummary_121289.pdf (2007.42 KB),EE Hamirpur,Internal,Attached,Sanjay Katoch,20-Dec-2023 07:11 PM,finsummary_121289.pdf (487.97 KB),08-Jan-2024,"INR 689,966",60.0,Sanjay Katoch,08-Jan-2024 04:52 PM,AwardSubhash.pdf (794.00 KB),Award,1,385372,AJEET CHAND GOVT CONTRACTOR,23-Nov-2023 09:41 AM,Rejected-Finance,l5,20-Dec-2023,Technical,Attached,Deepak Kapil,02-Dec-2023 05:17 PM,technical_121289.pdf,1.0,385194.0,SUBHASH CHAND GOVT CONTRACTOR,INR,"689,965.98",Finance,Attached,Sanjay Katoch,20-Dec-2023 07:07 PM,finance_121289.pdf,BOQ Comparative Chart
,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2,385620,AMAN SHARMA GOVT.CONTRACTOR,23-Nov-2023 10:02 AM,Rejected-Finance,l4,20-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,385290,asha sharma,21-Nov-2023 06:49 PM,Rejected-Technical,Rejecetd,02-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,385523,Avtar Singh,22-Nov-2023 05:49 PM,Rejected-Technical,Rejected,02-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,385592,Devender Kumar,22-Nov-2023 09:21 PM,Rejected-AOC,l3,08-Jan-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,385552,Gulam Mohamad,22-Nov-2023 06:35 PM,Rejected-Finance,l2,20-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,385279,Japan Singh,22-Nov-2023 09:32 AM,Rejected-Technical,Rejected,02-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,385585,microcom computers,22-Nov-2023 09:19 PM,Rejected-Technical,Rejected,02-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,385314,RAJESH KUMAR GOVT CONTRACTOR,22-Nov-2023 09:40 AM,Rejected-Technical,Rejected,02-Dec-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,385194,SUBHASH CHAND GOVT CONTRACTOR,21-Nov-2023 02:56 PM,Accepted-AOC,l1,08-Jan-2024,,,,,,,,,,,,,,,,
