Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
Executive Engineer,JSV Division Kullu,28-Dec-2023 06:00 PM,09-Jan-2024 11:30 AM,29-Dec-2023 10:00 AM,08-Jan-2024 05:00 PM,NA ,NA ,29-Dec-2023 10:00 AM,08-Jan-2024 05:00 PM,12-Jan-2024 05:15 PM,1.0,ICICI BANK,"60,000",Yes,fixed,,Executive Engineer,Jal Shakti Division Kullu,"A R and M O Sewerage Scheme Bhuntar Town in Tehsil Bhuntar Distt. Kullu SH Operation, running, repair and maintenance of 0.87 MLD STP at Jarad Zone E and F including main trunk, distribution network 9.00 Km for a period of six months","A R and M O Sewerage Scheme Bhuntar Town in Tehsil Bhuntar Distt. Kullu SH Operation, running, repair and maintenance of 0.87 MLD STP at Jarad Zone E and F including main trunk, distribution network 9.00 Km for a period of six months.",Please refer Tender documents. ,NA ,"26,73,564",Civil Works - Others,NA ,Tender,90.0,NA ,Bhunter,175101.0,NA ,NA ,NA ,JSV Division Kullu,No ,No,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",14463-513,2023_HPIPH_83293_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,Executive Engineer,JSV Division Kullu,No,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIT,Executive Engineer,Internal,,Amit Mirupa,12-Jan-2024 05:10 PM,12-Jan-2024 05:15 PM,techsummary_123834.pdf (631.11 KB),1.0,396462.0,Amit sood contractor,06-Jan-2024 05:47 PM,Rejected-Finance,L3,16-Feb-2024,16-Feb-2024,"INR 2,676,564",180.0,Amit Mirupa,16-Feb-2024 12:40 PM,AOC.pdf (524.00 KB),Finance,Summary,Amit Mirupa,16-Feb-2024 12:36 PM,finance_123834.pdf,BOQ Comparative Chart,Technical,Summary,Amit Mirupa,12-Jan-2024 05:08 PM,technical_123834.pdf,Executive Engineer,Internal,,Amit Mirupa,16-Feb-2024 12:39 PM,finsummary_123834.pdf (645.58 KB),1.0,395737.0,Narender Singh,INR,"2,190,000","HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2023_HPIPH_83293_1,14463-513,"A R and M O Sewerage Scheme Bhuntar Town in Tehsil Bhuntar Distt. Kullu SH Operation, running, repair and maintenance of 0.87 MLD STP at Jarad Zone E and F including main trunk, distribution network 9.00 Km for a period of six months"
,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form as per NIT,,,,,,,,2.0,396455.0,GURBACHAN SING,06-Jan-2024 05:23 PM,Rejected-Finance,L2,16-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration as per NIT,,,,,,,,3.0,395737.0,Narender Singh,05-Jan-2024 12:56 PM,Accepted-AOC,L1,16-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN GST EPF as per NIT,,,,,,,,4.0,395992.0,VINAYSHARMA,08-Jan-2024 03:38 PM,Rejected-Finance,L4,16-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking for blacklist/debarred as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Undertaking for labor wages as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking MoU with NABL accredited lab as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking form six and eight as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
