S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,S.No.1.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
1.0,413842.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,INR,"568,628",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2024_HPSEB_87163_1,184619/DB/2023-24-7509-15 Dated 23-02-2024,Tender for 63 KVA 22/0.4 KV S/stn Khamnu alongwith HT Line under ESD HPSEBL Chattri .,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,07-Mar-2024 11:33 AM,finsummary_129593.pdf (421.21 KB),Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,05-Mar-2024 10:49 AM,technical_129593.pdf,Finance,Financial bid opened by tender committee.,Sushil Kumar,07-Mar-2024 11:31 AM,finance_129593.pdf,BOQ Comparative Chart,07-Mar-2024,"INR 542,040",15.0,Sushil Kumar,07-Mar-2024 12:16 PM,karsog_20240307_114559.pdf (1242.00 KB),Awarded to M/S KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED (L-1) which found lowest,1.0,413842.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,03-Mar-2024 07:13 PM,Accepted-AOC,Awarded to M/S KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED (L-1) which found lowest,07-Mar-2024,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,05-Mar-2024 10:51 AM,05-Mar-2024 10:55 AM,techsummary_129593.pdf (467.09 KB),590.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,ICICI BANK,1.0,Error in units of Sr. No.4.02,Other,,"14,088",No,fixed,,Nil,Nil,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2023-24-7509-15 Dated 23-02-2024,2024_HPSEB_87163_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,27-Feb-2024 05:00 PM,04-Mar-2024 03:00 PM,27-Feb-2024 05:00 PM,04-Mar-2024 10:30 AM,NA ,NA ,27-Feb-2024 05:00 PM,04-Mar-2024 10:30 AM,05-Mar-2024 10:55 AM,Tender for 63 KVA 22/0.4 KV S/stn Khamnu alongwith HT Line under ESD HPSEBL Chattri .,Tender for 63 KVA 22/0.4 KV S/stn Khamnu alongwith HT Line under ESD HPSEBL Chattri .,Please refer tender document  ,NA ,"5,63,505",Supply and Erection,Electrical Work ,Tender,180.0,15.0,Chhatri,175047.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,414263.0,Koyla Engineering Works,04-Mar-2024 10:28 AM,Rejected-Finance,L3,07-Mar-2024,,,,,,,,,,,,,,.pdf,EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,414256.0,SATPAL,04-Mar-2024 10:12 AM,Rejected-Finance,L2,07-Mar-2024,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non-blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
