class,age,male,female
0,0 to 1,439.43,378.23
1,1 to 5,1754.63,1507.64
10,10 to 15,2412.68,1950.58
15,15 to 20,2552.48,2248.14
20,20 to 25,2144.88,2449.52
25,25 to 30,1884,2486.46
30,30 to 35,2072.01,2605.49
35,35 to 40,1954.91,2361.27
40,40 to 45,1765.44,2143.98
45,45 to 50,1651.32,2012.95
5,5 to 10,2277.86,1877.52
50,50 to 55,1581.14,1986.2
55,55 to 60,1554.41,1731.59
60,60 to 65,1256.48,1343.4
65,65 to 70,929.23,987.63
70,70 to 75,624.19,880.93
75,75 to 80,506.92,690.87
80,80 and over,530.44,947.04
