class,age,male,female
0,0 to 1,290.33,257.17
1,1 to 5,1136.9,1005.33
10,10 to 15,1668.45,1483.13
15,15 to 20,1731.18,1576.01
20,20 to 25,1824.69,1647.09
25,25 to 30,1731.79,1535.46
30,30 to 35,1675.18,1470.62
35,35 to 40,1467.18,1316.11
40,40 to 45,1281.08,1226.15
45,45 to 50,1146.65,1080.42
5,5 to 10,1542.52,1373.61
50,50 to 55,1046.68,1008.41
55,55 to 60,900.5,773.08
60,60 to 65,655.7,639.91
65,65 to 70,441.77,438.94
70,70 to 75,286.14,313.72
75,75 to 80,219.84,227.57
80,80 and over,180.16,213.5
