class,age,male,female
0,0 to 1,143.06,126.8
1,1 to 5,552.25,488.66
10,10 to 15,800.83,705.32
15,15 to 20,893.82,803.76
20,20 to 25,1045.69,922.09
25,25 to 30,1027.59,892.54
30,30 to 35,1019.18,877.24
35,35 to 40,902.74,789.28
40,40 to 45,794.78,748
45,45 to 50,715.79,659.5
5,5 to 10,724.16,645.45
50,50 to 55,649.01,613.3
55,55 to 60,560.69,460.65
60,60 to 65,357.05,334.97
65,65 to 70,258.24,253.51
70,70 to 75,170.55,185.3
75,75 to 80,134.14,138.36
80,80 and over,116.32,134.67
