class,age,male,female
0,0 to 1,1436.87,1210.86
1,1 to 5,5505.56,4631.55
10,10 to 15,7321.87,5879.16
15,15 to 20,7883.14,6941.53
20,20 to 25,7430.25,7618.05
25,25 to 30,7050.93,7675.03
30,30 to 35,7436.86,7814.73
35,35 to 40,6848.32,7183.16
40,40 to 45,5868.01,6609.37
45,45 to 50,5734.95,6209.7
5,5 to 10,6655.01,5459.97
50,50 to 55,5175.63,5907.09
55,55 to 60,5080.49,5027.65
60,60 to 65,3855.06,3840.28
65,65 to 70,3029.41,3023.07
70,70 to 75,1934.07,2335.6
75,75 to 80,1449.26,1776.24
80,80 and over,1366.29,1986.21
