class,age,male,female
0,0 to 1,1508.54,1266.21
1,1 to 5,5780.16,4843.26
10,10 to 15,7724.95,6166.92
15,15 to 20,8376.58,7318.23
20,20 to 25,7904.21,8007.82
25,25 to 30,7476.26,8033.61
30,30 to 35,7811.76,8135.5
35,35 to 40,7185.74,7489.89
40,40 to 45,6180.79,6907.77
45,45 to 50,6018.6,6469.49
5,5 to 10,7015.67,5725.56
50,50 to 55,5420.88,6125.61
55,55 to 60,5285.54,5205.05
60,60 to 65,4030.14,4031.43
65,65 to 70,3191.77,3166.47
70,70 to 75,2032.09,2422.33
75,75 to 80,1506.71,1830.82
80,80 and over,1436.07,2063.92
