object_id,LWSS_tenders_awarded_value,timeperiod
02-028-02858,399282.49,2019_06
02-029-00066,142065065.0,2019_07
02-030-02106,1246695.0,2019_08
02-032-00048,2462500.0,2019_11
02-032-00048,2462500.0,2019_12
02-031-00057,160386785.27,2020_04
02-028-02857,33878964.0,2020_05
02-030-02108,1198463.0,2020_07
02-024-02127,7397608.0,2020_08
02-033-00038,525017.0,2020_10
02-028-02858,0.0,2020_11
02-030-02106,0.0,2021_01
02-033-00038,69096256.0,2021_02
02-033-00038,69096256.0,2021_03
02-028-02858,38203519.69,2021_06
02-033-00044,2933647.0,2021_08
02-033-00043,7758931.0,2021_11
02-028-02858,1957618.7,2021_12
02-024-02123,877766.0,2022_01
02-030-02106,0.0,2022_02
02-033-00047,1421675.0,2022_05
02-031-00060,5450651.0,2022_08
02-033-00038,132314100.0,2022_08
02-028-02858,275755698.0,2022_09
02-028-02854,1382416777.0,2023_09
02-032-00050,606982.0,2023_09
02-030-02106,611000.0,2023_10
02-028-02859,167537166.0,2023_11
02-033-00047,2722170.0,2023_11
02-027-00027,1196712.0,2024_01
02-031-00058,92080.0,2024_03
