object_id,Roadlength,timeperiod
02-033-00043,0.6,2020_04
02-029-00065,0.18,2020_06
02-024-02130,8.245,2020_07
02-029-00065,0.18,2020_07
02-033-00038,0.0,2020_08
02-033-00038,0.0,2020_09
02-033-00043,0.8,2021_06
02-024-02130,1.6,2021_07
02-033-00043,2.3,2021_07
02-030-02105,1.3,2021_08
02-030-02107,1.7,2021_08
02-024-02130,1.6,2021_12
02-033-00039,0.016,2022_07
02-024-02127,0.3,2022_08
02-028-02860,0.12,2022_08
02-033-00045,5.12,2023_01
02-033-00047,0.008,2023_05
02-033-00045,1.995,2023_06
02-033-00045,0.8,2023_07
02-033-00045,12.32,2023_08
02-033-00047,0.013,2023_08
02-033-00047,0.012,2023_09
02-026-00011,0.0,2023_10
02-033-00045,0.905,2023_10
02-033-00045,1.0,2023_11
02-033-00045,1.0,2023_12
02-033-00043,0.1,2024_01
02-033-00045,0.742,2024_09
02-033-00037,2.2,2024_11
